Cycle	Pathway	k_number	Detail	Elos10_final_pure_reads	Elos12_final_pure_reads	Elos1_final_pure_reads	Elos2_final_pure_reads	Elos3_final_pure_reads	Elos7_final_pure_reads
Photosystem	Photosystem II (psbABCDEF)	K02703	psbA; photosystem II P680 reaction center D1 protein	17.392617287244065	7.9787234449233075	13.123766348581082	12.386418033638318	26.17757013835442	9.950422086077467
		K02706	psbD; photosystem II P680 reaction center D2 protein	4.3247712927657584	3.522804158187833	9.346201276207097	1.6523158444103956	17.325047207299807	5.0075860854465635
		K02705	psbC; photosystem II CP43 chlorophyll apoprotein	11.789262434705474	4.935641550717793	14.59211975871217	4.765811127700051	30.414269190117395	9.480640354146765
		K02704	psbB; photosystem II CP47 chlorophyll apoprotein	3.3550445522226	1.725409743216887	8.217422566248901	1.5649355232267605	13.066182889627267	4.997623166760001
		K02707	psbE; photosystem II cytochrome b559 subunit alpha	3.2650695138292285	1.2868097604059032	7.4049858137867295	1.660234149547125	14.179903694618282	4.09375242685122
		K02708	psbF; photosystem II cytochrome b559 subunit beta	2.0746400028333754	2.06163967553517	4.869733601978166	0.49886395302469233	11.658681799813202	2.593143341231415
	Photosystem I (psaABCDEF)	K02689	psaA; photosystem I P700 chlorophyll a apoprotein A1	4.836779704392993	1.4129890436942638	8.186640015514207	1.875114741077693	13.919690892549976	5.800008397986429
		K02690	psaB; photosystem I P700 chlorophyll a apoprotein A2	4.653928340291385	1.5721896786862521	6.904185582893448	1.9783397195928514	12.747399076371453	4.6622450587914
		K02691	psaC; photosystem I subunit VII	3.02808030409035	1.5127010628708075	5.772973601464072	1.6789542889608216	11.600425902811342	3.9851082303118237
		K02692	psaD; photosystem I subunit II	3.7711845941095112	1.5337750601212103	2.144547330059814	1.3582334250437154	5.6217398751532635	1.2569214265346753
		K02693	psaE; photosystem I subunit IV	3.7595355303094524	1.8070642446657206	2.552783247590631	1.1150110950054641	5.349800802644602	1.2167715554114822
		K02694	psaF; photosystem I subunit III	3.2658511926517004	1.7556407134973293	2.193888668225358	1.4410161937191	5.973764882716272	1.2543048026972727
	Cytochrome b6/f complex (petABCDGLMN)	K02635	petB; cytochrome b6	3.7042559066168868	6.755973893613128	6.4944645179350164	2.9970489883724176	13.660291576748163	3.7802097979544387
		K02637	petD; cytochrome b6-f complex subunit 4	2.75318991818772	2.004450642829347	6.662752832058052	1.3909393513757407	12.74671744639541	4.010346307777487
		K02634	petA; apocytochrome f	4.017700331520015	1.671510162129503	10.081252959027687	1.0298115265576562	15.134786836371747	5.162314458491338
		K02636	petC; cytochrome b6-f complex iron-sulfur subunit	10.523657085494511	5.423889367427868	4.954216639313067	6.840871120538221	13.307757022842406	4.404885787007148
		K02642	petL; cytochrome b6-f complex subunit 6	0.21560868374444964	1.3611271027963403	1.8903852732176656	0.0	3.090615349450295	0.3397207161334669
		K02643	petM; cytochrome b6-f complex subunit 7	3.7336435171785847	1.3898801635482967	2.5635829730243507	1.094126296972072	3.8912221616747638	1.4804363969412637
		K03689	PetN; cytochrome b6-f complex subunit 8	3.21806631721954	0.0	0.0	0.9257094187133271	0.4064950646323422	0.3765311827970012
		K02640	petG; cytochrome b6-f complex subunit 5	0.6232790745698965	2.5256839664223962	5.264499491593195	0.3760014704763376	9.83127653108394	2.5946264238743506
	Anoxygenic photosystem II (pufML)	K08928	pufL; photosynthetic reaction center L subunit	23.95871646837227	8.638852691255044	36.46321927546049	9.406055961341641	46.71612722750688	64.70454766165075
		K08929	pufM; photosynthetic reaction center M subunit	22.500701023391642	6.97737356432075	35.48171645087079	7.536981878518665	39.27852062646474	54.789208083098885
	Anoxygenic photosystem I (pscABCD)	K08940	pscA; photosystem P840 reaction center large subunit
		K08941	pscB; photosystem P840 reaction center iron-sulfur protein
		K08942	pscC; photosystem P840 reaction center cytochrome c551
		K08943	pscD; photosystem P840 reaction center protein PscD
Carbon fixation	Calvin-Benson-Bassham cycle	K00855	"PRK, prkB; phosphoribulokinase [EC:2.7.1.19]"	20.517060731565362	13.488648653801434	40.434942374630516	12.69799207488732	15.780359704110236	28.070842331277312
		K01601	rbcL; ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]	30.47469159287298	30.7057707748192	71.30903337464444	30.917650076888183	21.924847195023432	43.51561362973416
		K01602	rbcS; ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39]	12.176723353952175	15.517912184404745	38.039088470687894	12.25503908130368	9.589961640744937	18.729892168649418
		K00927	"PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]"	237.80925230400845	257.78637405877583	229.33159922915965	261.7943338423678	231.98404865751314	228.67297187907164
		K05298	GAPA; glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating) [EC:1.2.1.13]
		K00150	gap2; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]	4.941214337184075	25.335174383821506	67.49094525843196	16.887692856836555	38.444397733090284	33.58792358666978
		K00134	"GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]"	132.1713815942593	127.99289886332433	107.29238892397053	152.63497188601772	156.2711744077769	143.21639922279533
		K01623	"ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"	37.12837686138655	34.63990252188844	39.881560147219666	29.65019283153186	31.38270671155845	52.577878542600345
		K01624	"FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"	190.3564059303278	125.00505935233379	113.39140793993907	215.76187582405316	90.67747931218706	90.52184887920347
		K03841	"FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]"	49.46804365437363	108.57430917869566	105.72004186142055	53.69612204961033	113.1099061798641	89.63973462594882
		K02446	"glpX; fructose-1,6-bisphosphatase II [EC:3.1.3.11]"	7.642582169841549	11.78849020808804	14.67531393992535	36.23920176402188	7.014023855108671	2.7197760860990368
		K11532	"glpX-SEBP; fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]"	10.640897198321142	3.02546002891344	14.847046610925396	2.7081864273377416	18.513581930579623	27.232083066495317
		K01086	"fbp-SEBP; fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]"
		K00615	"E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]"	312.1463579255141	294.510790766364	132.1819209610095	372.6664074962642	182.98740878054494	227.15144955085694
		K01100	E3.1.3.37; sedoheptulose-bisphosphatase [EC:3.1.3.37]	0.0	0.2100920084383691	0.10647877442367297	0.0	0.0	0.10358473218360338
		K11532	"glpX-SEBP; fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]"	10.640897198321142	3.02546002891344	14.847046610925396	2.7081864273377416	18.513581930579623	27.232083066495317
		K01086	"fbp-SEBP; fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]"
		K01807	rpiA; ribose 5-phosphate isomerase A [EC:5.3.1.6]	58.15603195637223	111.4805052174131	118.4348834210954	78.88856391266911	134.98979261469717	133.59611409776994
		K01808	rpiB; ribose 5-phosphate isomerase B [EC:5.3.1.6]	115.92476694111589	83.23062302861601	48.974160463430735	132.54731810697461	62.986518543379255	66.46189000414422
	Reductive citrate cycle	K00169	porA; pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]	57.0177377879628	71.56951428395517	73.85382793644615	94.48283703247645	36.34811066990885	59.65672283861101
