#Species	GC%
Microlunatus_sagamiharensis--RS_GCF_900105785.1	73.36%
Streptacidiphilus_neutrinimicus--RS_GCF_000787815.1	71.4%
Streptacidiphilus_carbonis--RS_GCF_000787775.1	71.05%
Streptacidiphilus_bronchialis--RS_GCF_003258605.2	72.7%
Streptomyces_tirandamycinicus--RS_GCF_003097515.1	72.46%
Curtobacterium_flaccumfaciens--RS_GCF_000349565.1	70.65%
Ornithinimicrobium_flavum--RS_GCF_004526345.1	72.48%
Blastococcus_saxobsidens--RS_GCF_000284015.1	72.95%
Frankia_irregularis--RS_GCF_001536285.1	70.89%
Frankia_asymbiotica--RS_GCF_001983105.1	71.94%
Frankia_inefficax--RS_GCF_000166135.1	72.31%
Frankia_coriariae--RS_GCF_001017755.1	70.16%
Flavobacterium_flevense--RS_GCF_900142775.1	34.16%
Flavobacterium_commune--RS_GCF_001857965.1	34.38%
Flavobacterium_reichenbachii--RS_GCF_002217435.1	33.61%
Flavobacterium_aurantiibacter--RS_GCF_002251775.1	40.36%
Gracilimonas_amylolytica--RS_GCF_002911695.1	43.75%
Balneola_vulgaris--RS_GCF_000375465.1	39.78%
Longimonas_halophila--RS_GCF_002554705.1	60.49%
Longibacter_salinarum--RS_GCF_002554795.1	59.33%
Salisaeta_longa--RS_GCF_000419585.1	63.47%
Salinibacter_altiplanensis--RS_GCF_002894645.1	64.38%
Salinibacter_ruber--RS_GCF_000013045.1	66.13%
Salinivenus_iranica--RS_GCF_002894665.1	65.66%
Rubrivirga_marina--RS_GCF_002283365.1	72.41%
Rubricoccus_marinus--RS_GCF_002257665.1	68.79%
Rhodothermus_marinus--RS_GCF_000024845.1	64.3%
Rhodothermus_profundi--RS_GCF_900142415.1	58.96%
Melioribacter_roseus--RS_GCF_000279145.1	41.33%
Thermanaerovibrio_velox--RS_GCF_000237825.1	58.78%
Tessaracoccus_bendigoensis--RS_GCF_900141915.1	66.66%
Microlunatus_phosphovorus--RS_GCF_000270245.1	67.27%
Streptomyces_albus--RS_GCF_000725885.1	72.73%
Curtobacterium_citreum--RS_GCF_006715175.1	71.93%
Ornithinimicrobium_humiphilum--RS_GCF_006716885.1	73.0%
Blastococcus_aggregatus--RS_GCF_900221005.1	73.32%
Frankia_alni--RS_GCF_000058485.1	72.83%
Gracilimonas_tropica--RS_GCF_000375425.1	42.94%
Thermanaerovibrio_acidaminovorans--RS_GCF_000024905.1	63.79%
Mycobacterium_saskatchewanense--RS_GCF_010729105.1	68.28%
Mycobacterium_aquaticum--RS_GCF_002086485.1	66.48%
Tessaracoccus_flavus--RS_GCF_001997295.1	67.93%
Tessaracoccus_flavescens--RS_GCF_001998865.1	68.24%
