#Species	GC%
Halogeometricum_pallidum--RS_GCF_000337095.1	65.64%
Halogeometricum_limi--RS_GCF_900115785.1	65.85%
Halococcus_salsus--RS_GCF_009900715.1	64.71%
Halocalculus_aciditolerans--GB_GCA_014647475.1	66.91%
Halobacterium_salinarum--RS_GCF_008124605.1	66.55%
Halobacterium_jilantaiense--RS_GCF_900110535.1	67.93%
Halanaeroarchaeum_sulfurireducens--RS_GCF_001011115.1	62.85%
Halodesulfurarchaeum_formicicum--RS_GCF_001886955.1	63.62%
Methanoregula_boonei--RS_GCF_000017625.1	54.51%
Methanolinea_tarda--GB_GCA_000235685.2	56.51%
Methanolacinia_petrolearia--RS_GCF_000147875.1	47.4%
Methanogenium_cariaci--RS_GCF_001315945.1	52.06%
Methanobrevibacter_smithii--RS_GCF_002252585.1	30.29%
Methanobacterium_lacus--RS_GCF_000191585.1	35.83%
Methanobacterium_veterum--RS_GCF_000745485.1	33.17%
Methanobacterium_bryantii--RS_GCF_002287175.1	33.19%
Halogeometricum_borinquense--RS_GCF_000172995.2	59.94%
Halococcus_morrhuae--RS_GCF_000336695.1	63.84%
Methanolacinia_paynteri--RS_GCF_000784355.1	47.43%
Methanobacterium_formicicum--GB_GCA_001316325.1	41.24%
Halorubrum_distributum--RS_GCF_000337335.1	68.08%
Halorubrum_saccharovorum--RS_GCF_000337915.1	66.88%
Halorubrum_amylolyticum--RS_GCF_004114995.1	66.24%
Halorubrum_lipolyticum--RS_GCF_000337375.1	68.01%
Halorubrum_depositum--RS_GCF_007671725.1	68.63%
Halorubrum_aidingense--RS_GCF_000336995.1	67.19%
Halorubrum_kocurii--RS_GCF_000337355.1	66.86%
Halorubrum_lacusprofundi--RS_GCF_000022205.1	63.97%
Halorubrum_cibi--RS_GCF_900182635.1	66.82%
Halorubrum_aquaticum--RS_GCF_900113615.1	67.4%
Halogeometricum_rufum--RS_GCF_900112175.1	67.65%
