#Species	GC%
Macrococcus_carouselicus--RS_GCF_004359515.1	43.81%
Macrococcus_equipercicus--RS_GCF_004359525.2	44.39%
Macrococcus_hajekii--RS_GCF_004359505.1	40.11%
Ectobacillus_panaciterrae--RS_GCF_000430785.1	40.47%
Ectobacillus_antri--RS_GCF_003852715.1	39.88%
Ectobacillus_funiculus--RS_GCF_004138295.1	40.3%
Amphibacillus_jilinensis--RS_GCF_000306965.1	37.22%
Gracilibacillus_lacisalsi--RS_GCF_000377765.1	36.8%
Gracilibacillus_kekensis--RS_GCF_900143085.1	35.99%
Gracilibacillus_massiliensis--RS_GCF_001458115.1	36.05%
Gracilibacillus_dipsosauri--RS_GCF_003176895.1	36.91%
Gracilibacillus_ureilyticus--RS_GCF_900111195.1	37.55%
Filobacillus_milosensis--RS_GCF_004402015.1	35.92%
Terribacillus_halophilus--RS_GCF_900162685.1	42.35%
Alkalicoccus_chagannorensis--RS_GCF_000429725.1	52.58%
Fictibacillus_aquaticus--RS_GCF_002245695.1	44.15%
Fictibacillus_phosphorivorans--RS_GCF_001619875.1	39.37%
Saccharomonospora_marina--RS_GCF_000244955.1	68.94%
Saccharomonospora_saliphila--RS_GCF_000383795.1	70.11%
Saccharomonospora_halophila--RS_GCF_000383775.1	69.87%
Saccharomonospora_iraqiensis--RS_GCF_000231035.2	70.51%
Sanguibacter_inulinus--RS_GCF_013415325.1	70.82%
Patulibacter_americanus--RS_GCF_000420025.1	74.43%
Patulibacter_medicamentivorans--RS_GCF_000240225.1	74.08%
Thermaerobacter_subterraneus--RS_GCF_000183545.2	72.04%
Thermaerobacter_marianensis--RS_GCF_000184705.1	72.48%
Syntrophorhabdus_aromaticivorans--RS_GCF_000512235.1	51.93%
Mammaliicoccus_sciuri--RS_GCF_002901825.1	32.47%
Amphibacillus_xylanus--RS_GCF_000307165.1	35.72%
Gracilibacillus_halotolerans--RS_GCF_014206945.1	36.27%
Alkalicoccus_saliphilus--RS_GCF_003044065.1	45.69%
Saccharomonospora_viridis--RS_GCF_000023865.1	67.32%
Patulibacter_minatonensis--RS_GCF_000519325.1	74.03%
Allochromatium_vinosum--RS_GCF_000025485.1	64.19%
Thiohalocapsa_marina--RS_GCF_008632335.1	65.94%
Inmirania_thermothiophila--RS_GCF_003751635.1	74.26%
Mammaliicoccus_stepanovicii--RS_GCF_002902525.1	32.02%
Macrococcus_bovicus--RS_GCF_004359575.1	44.25%
Macrococcus_brunensis--RS_GCF_004359615.1	41.6%
