#Species	GC%
Microbacterium_chocolatum--RS_GCF_001652465.1	69.96%
Microbacterium_hominis--RS_GCF_013282805.1	70.59%
Microbacterium_kyungheense--RS_GCF_006783905.1	70.71%
Microbacterium_oleivorans--RS_GCF_001691565.1	69.57%
Microbacterium_suaedae--RS_GCF_003254645.1	68.55%
Salinibacterium_hongtaonis--RS_GCF_003065485.1	64.1%
Glutamicibacter_arilaitensis--RS_GCF_000197735.1	59.27%
Paeniglutamicibacter_antarcticus--RS_GCF_900010755.1	61.73%
Brachybacterium_vulturis--RS_GCF_002407185.1	70.84%
Brachybacterium_avium--RS_GCF_002216795.1	70.43%
Brachybacterium_faecium--RS_GCF_000023405.1	72.05%
Brachybacterium_saurashtrense--RS_GCF_003355475.1	72.75%
Brachybacterium_nesterenkovii--RS_GCF_900163655.1	72.43%
Demequina_gelatinilytica--RS_GCF_000971115.1	71.41%
Demequina_subtropica--RS_GCF_000971235.1	71.63%
Demequina_maris--RS_GCF_000971155.1	72.32%
Demequina_flava--RS_GCF_000975035.1	64.71%
Demequina_sediminicola--RS_GCF_000975055.1	62.7%
Oerskovia_turbata--RS_GCF_000718325.1	72.21%
Flavimobilis_marinus--RS_GCF_900113055.1	72.04%
Xylanimonas_cellulosilytica--RS_GCF_000024965.1	72.45%
Tepidiforma_bonchosmolovskayae--RS_GCF_008838325.1	69.88%
Stackebrandtia_nassauensis--RS_GCF_000024545.1	68.13%
Actinomadura_madurae--RS_GCF_900115095.1	72.1%
Salinibacterium_amurskyense--RS_GCF_002797685.1	61.88%
Citricoccus_muralis--RS_GCF_003386075.1	68.67%
Laceyella_sediminis--RS_GCF_003003125.1	48.9%
Laceyella_sacchari--RS_GCF_004343255.1	48.67%
Stackebrandtia_endophytica--RS_GCF_006716355.1	65.61%
Planomonospora_parontospora--GB_GCA_014647935.1	72.61%
Actinomadura_macrotermitis--RS_GCF_009604375.1	73.14%
Microbacterium_saccharophilum--RS_GCF_007992455.1	71.16%
Microbacterium_thalassium--RS_GCF_014208045.1	70.81%
Microbacterium_kitamiense--RS_GCF_002872075.1	68.16%
