#Species	GC%
Methanoculleus_sediminis--RS_GCF_001017125.1	62.3%
Methanoculleus_bourgensis--RS_GCF_000304355.2	60.64%
Methanoculleus_taiwanensis--RS_GCF_004102725.1	59.97%
Methanomicrobium_mobile--RS_GCF_000711215.1	49.46%
Methanolacinia_paynteri--RS_GCF_000784355.1	47.43%
Methanolacinia_petrolearia--RS_GCF_000147875.1	47.4%
Methanoplanus_limicola--RS_GCF_000243255.1	42.19%
Methanogenium_cariaci--RS_GCF_001315945.1	52.06%
Methanomethylovorans_hollandica--RS_GCF_000328665.1	41.87%
Methanocorpusculum_parvum--RS_GCF_002287215.1	51.43%
Haladaptatus_cibarius--RS_GCF_000710615.1	57.76%
Haladaptatus_litoreus--RS_GCF_900156425.1	56.99%
Methanocorpusculum_labreanum--RS_GCF_000015765.1	50.01%
Methanofollis_ethanolicus--RS_GCF_001571385.1	60.33%
Methanofollis_tationis--RS_GCF_013377755.1	61.14%
Methanofollis_liminatans--RS_GCF_000275865.1	60.96%
Methanoregula_boonei--RS_GCF_000017625.1	54.51%
Methanoregula_formicica--RS_GCF_000327485.1	55.2%
Methanolinea_tarda--GB_GCA_000235685.2	56.51%
Methanosphaerula_palustris--RS_GCF_000021965.1	55.35%
Methanoculleus_marisnigri--GB_GCA_002503885.1	61.54%
Methanoculleus_chikugoensis--RS_GCF_900095385.1	61.84%
Methanoculleus_horonobensis--RS_GCF_001602375.1	62.04%
Methanoculleus_thermophilus--RS_GCF_001571405.1	59.32%
