#Species	GC%
Desulfonauticus_submarinus--RS_GCF_900104045.1	32.47%
Desulfohalobium_retbaense--RS_GCF_000024325.1	57.33%
Desulfobacca_acetoxidans--GB_GCA_011333555.1	58.78%
Geobacter_uraniireducens--RS_GCF_000016745.1	54.24%
Geobacter_metallireducens--GB_GCA_011046855.1	62.98%
Geobacter_pickeringii--RS_GCF_000817955.1	62.27%
Geoalkalibacter_ferrihydriticus--RS_GCF_000820505.1	57.94%
Geoalkalibacter_subterraneus--RS_GCF_000827125.1	56.68%
Desulfuromonas_acetoxidans--RS_GCF_000167355.1	51.83%
Pelobacter_seleniigenes--RS_GCF_000711225.1	54.19%
Malonomonas_rubra--RS_GCF_900142125.1	52.46%
Geopsychrobacter_electrodiphilus--RS_GCF_000384395.1	53.21%
Lujinxingia_sediminis--RS_GCF_004005565.1	63.6%
Thermosulfuriphilus_ammonigenes--RS_GCF_011207455.1	51.94%
Geobacillus_thermocatenulatus--RS_GCF_002217655.1	51.77%
Geobacillus_thermodenitrificans--RS_GCF_000496575.1	49.05%
Geobacillus_subterraneus--RS_GCF_001618685.1	52.2%
Saccharococcus_thermophilus--RS_GCF_011761475.1	44.88%
Melghiribacillus_thermohalophilus--RS_GCF_004342905.1	42.07%
Thermoanaerobaculum_aquaticum--RS_GCF_000687145.1	63.01%
Patulibacter_medicamentivorans--RS_GCF_000240225.1	74.08%
Conexibacter_woesei--RS_GCF_000025265.1	72.73%
Gaiella_occulta--RS_GCF_003351045.1	71.65%
Rubrobacter_taiwanensis--RS_GCF_004337705.1	67.18%
Moorella_glycerini--RS_GCF_009735625.1	54.74%
Moorella_humiferrea--RS_GCF_002995755.1	53.52%
Moorella_thermoacetica--RS_GCF_001267405.1	55.95%
Thermaerobacter_subterraneus--RS_GCF_000183545.2	72.04%
Thermaerobacter_marianensis--RS_GCF_000184705.1	72.48%
Halorhodospira_halophila--RS_GCF_000015585.1	67.98%
Lujinxingia_litoralis--RS_GCF_003260125.1	64.65%
Geobacillus_stearothermophilus--RS_GCF_001277805.1	53.05%
Patulibacter_minatonensis--RS_GCF_000519325.1	74.03%
Rubrobacter_radiotolerans--RS_GCF_900175965.1	66.52%
Thiohalocapsa_marina--RS_GCF_008632335.1	65.94%
Inmirania_thermothiophila--RS_GCF_003751635.1	74.26%
Halorhodospira_halochloris--RS_GCF_002356555.2	56.03%
Deferribacter_desulfuricans--RS_GCF_000010985.1	30.31%
Desulfohalovibrio_reitneri--RS_GCF_000711295.1	65.47%
