#Species	GC%
Parageobacillus_thermoglucosidasius--RS_GCF_001655645.1	43.15%
Parageobacillus_thermantarcticus--RS_GCF_900111865.1	43.63%
Thermolongibacillus_altinsuensis--RS_GCF_004341205.1	40.79%
Saccharococcus_thermophilus--RS_GCF_011761475.1	44.88%
Anoxybacillus_flavithermus--RS_GCF_002742685.1	41.48%
Anoxybacillus_mongoliensis--RS_GCF_014201515.1	41.39%
Anoxybacillus_gonensis--RS_GCF_001187595.1	41.67%
Anoxybacillus_vitaminiphilus--RS_GCF_003259935.1	40.04%
Metabacillus_niabensis--RS_GCF_902829255.1	35.55%
Sporomusa_ovata--RS_GCF_000445445.1	43.34%
Sporomusa_silvacetica--RS_GCF_002257705.1	42.95%
Sporomusa_sphaeroides--RS_GCF_001941975.1	47.22%
Sporomusa_malonica--RS_GCF_900176355.1	44.39%
Sporomusa_termitida--RS_GCF_007641255.1	49.1%
Succinispira_mobilis--RS_GCF_000384135.1	36.24%
Posidoniimonas_corsicana--RS_GCF_007859765.1	66.66%
Thermoanaerobaculum_aquaticum--RS_GCF_000687145.1	63.01%
Solirubrobacter_pauli--RS_GCF_003633755.1	72.1%
Solirubrobacter_soli--RS_GCF_000423665.1	71.43%
Carboxydothermus_islandicus--RS_GCF_001950325.1	41.95%
Carboxydothermus_hydrogenoformans--RS_GCF_000012865.1	42.05%
Carboxydothermus_pertinax--RS_GCF_001950255.1	40.69%
Thermodesulfitimonas_autotrophica--RS_GCF_003815015.1	59.62%
Peribacillus_simplex--RS_GCF_002243645.1	39.9%
Geobacillus_stearothermophilus--RS_GCF_001277805.1	53.05%
Anoxybacillus_pushchinoensis--RS_GCF_900111795.1	41.97%
Metabacillus_fastidiosus--RS_GCF_001591625.1	35.1%
Peribacillus_loiseleuriae--RS_GCF_001183985.1	37.32%
Peribacillus_huizhouensis--RS_GCF_014138605.1	37.25%
Mesobacillus_zeae--RS_GCF_003570705.1	43.2%
Bacillus_methanolicus--RS_GCF_008764295.1	38.37%
Geobacillus_jurassicus--RS_GCF_001544315.1	52.22%
Geobacillus_thermodenitrificans--RS_GCF_000496575.1	49.05%
Geobacillus_subterraneus--RS_GCF_001618685.1	52.2%
Parageobacillus_toebii--RS_GCF_003688615.2	42.36%
