#Species	GC%
Desulfatiglans_anilini--RS_GCF_000422285.1	58.75%
Desulfobacca_acetoxidans--GB_GCA_011333555.1	58.78%
Dethiosulfatarculus_sandiegensis--RS_GCF_000931935.2	52.06%
Desulfarculus_baarsii--RS_GCF_000143965.1	65.7%
Desulforhopalus_singaporensis--RS_GCF_900104445.1	50.55%
Desulfotalea_psychrophila--RS_GCF_000025945.1	46.63%
Desulfobulbus_mediterraneus--RS_GCF_000429965.1	57.51%
Desulfacinum_infernum--RS_GCF_900129305.1	61.97%
Syntrophobacter_fumaroxidans--RS_GCF_000014965.1	59.95%
Geobacter_uraniireducens--RS_GCF_000016745.1	54.24%
Geobacter_thiogenes--RS_GCF_900167465.1	52.82%
Geobacter_metallireducens--GB_GCA_011046855.1	62.98%
Geoalkalibacter_subterraneus--RS_GCF_000827125.1	56.68%
Thermosulfuriphilus_ammonigenes--RS_GCF_011207455.1	51.94%
Flavobacterium_faecale--RS_GCF_003076455.1	35.18%
Flavobacterium_frigidarium--RS_GCF_000425505.1	34.04%
Balneola_vulgaris--RS_GCF_000375465.1	39.78%
Rhodothermus_marinus--RS_GCF_000024845.1	64.3%
Rhodothermus_profundi--RS_GCF_900142415.1	58.96%
Chlorobium_phaeobacteroides--RS_GCF_000020545.1	48.93%
Chlorobium_limicola--RS_GCF_000020465.1	51.32%
Chlorobaculum_tepidum--RS_GCF_000006985.1	56.53%
Ignavibacterium_album--GB_GCA_011329055.1	33.8%
Syntrophorhabdus_aromaticivorans--RS_GCF_000512235.1	51.93%
Hippea_maritima--RS_GCF_000194135.1	37.47%
Pseudodesulfovibrio_indicus--RS_GCF_001563225.1	63.49%
Desulfopila_aestuarii--RS_GCF_900143695.1	49.63%
Deferribacter_desulfuricans--RS_GCF_000010985.1	30.31%
Hippea_alviniae--RS_GCF_000420385.1	37.03%
Hippea_jasoniae--RS_GCF_000744435.1	37.01%
Desulfovibrio_desulfuricans--RS_GCF_000022125.1	58.07%
Desulfovibrio_vulgaris--RS_GCF_000195755.1	63.28%
Pseudodesulfovibrio_piezophilus--RS_GCF_000341895.1	49.93%
Desulfobacula_toluolica--RS_GCF_000307105.1	41.45%
Desulforegula_conservatrix--RS_GCF_000426225.1	42.35%
