#Species	GC%
Methanobacterium_veterum--RS_GCF_000745485.1	33.17%
Methanobacterium_bryantii--RS_GCF_002287175.1	33.19%
Methanothermobacter_marburgensis--RS_GCF_000145295.1	48.64%
Methanothermobacter_thermautotrophicus--RS_GCF_000008645.1	49.54%
Methanothermobacter_tenebrarum--RS_GCF_003264935.1	40.03%
Methanothermus_fervidus--RS_GCF_000166095.1	31.64%
Ferroglobus_placidus--RS_GCF_000025505.1	44.14%
Geoglobus_ahangari--RS_GCF_001006045.1	53.11%
Archaeoglobus_sulfaticallidus--RS_GCF_000385565.1	43.24%
Methanothermococcus_thermolithotrophicus--RS_GCF_000376965.1	32.8%
Methanotorris_formicicus--RS_GCF_000243455.1	32.44%
Desulfurococcus_amylolyticus--RS_GCF_000513855.1	45.16%
Desulfurococcus_mucosus--RS_GCF_000186365.1	53.14%
Thermosphaera_aggregans--GB_GCA_011053855.1	46.51%
Staphylothermus_hellenicus--RS_GCF_000092465.1	36.84%
Thermogladius_calderae--RS_GCF_000264495.1	55.64%
Pyrodictium_delaneyi--RS_GCF_001412615.1	53.91%
Hyperthermus_butylicus--RS_GCF_000015145.1	53.74%
Ignisphaera_aggregans--GB_GCA_011375585.1	33.86%
Thermofilum_adornatum--RS_GCF_000813245.1	46.4%
Thermofilum_uzonense--RS_GCF_000993805.1	47.94%
Methanotorris_igneus--RS_GCF_000214415.1	32.3%
Pyrodictium_occultum--RS_GCF_001462395.1	63.5%
Methanobrevibacter_arboriphilus--RS_GCF_000513315.1	25.52%
Methanobrevibacter_filiformis--RS_GCF_001639265.1	26.99%
Methanobrevibacter_cuticularis--RS_GCF_001639285.1	26.79%
Methanosphaera_stadtmanae--RS_GCF_000012545.1	27.63%
Methanobacterium_subterraneum--RS_GCF_002813695.1	39.4%
Methanobacterium_formicicum--GB_GCA_001316325.1	41.24%
Methanobacterium_congolense--RS_GCF_900095295.1	38.49%
Methanobacterium_lacus--RS_GCF_000191585.1	35.83%
Methanobacterium_paludis--RS_GCF_000214725.1	35.73%
