#Species	GC%
Desulfuromonas_thiophila--RS_GCF_900101955.1	60.71%
Aerococcus_urinaehominis--RS_GCF_001543245.1	42.75%
Ureibacillus_thermosphaericus--RS_GCF_012396605.1	35.71%
Psychrobacillus_glaciei--RS_GCF_008973485.1	35.97%
Paenisporosarcina_indica--RS_GCF_001939075.1	38.47%
Planococcus_halocryophilus--RS_GCF_001687585.2	40.05%
Planococcus_versutus--RS_GCF_001186155.3	39.39%
Caldibacillus_thermoamylovorans--RS_GCF_000751775.1	37.28%
Geobacillus_thermodenitrificans--RS_GCF_000496575.1	49.05%
Geobacillus_subterraneus--RS_GCF_001618685.1	52.2%
Gracilibacillus_massiliensis--RS_GCF_001458115.1	36.05%
Gracilibacillus_halotolerans--RS_GCF_014206945.1	36.27%
Gracilibacillus_ureilyticus--RS_GCF_900111195.1	37.55%
Halobacillus_litoralis--RS_GCF_009856355.1	47.23%
Filobacillus_milosensis--RS_GCF_004402015.1	35.92%
Piscibacillus_halophilus--RS_GCF_900110685.1	36.74%
Halalkalibacillus_sediminis--RS_GCF_002844535.1	38.7%
Melghiribacillus_thermohalophilus--RS_GCF_004342905.1	42.07%
Tepidibacillus_fermentans--RS_GCF_004342885.1	36.63%
Vulcanibacillus_modesticaldus--RS_GCF_001730235.1	33.61%
Desulfosporosinus_lacus--RS_GCF_900129935.1	41.95%
Desulfosporosinus_fructosivorans--RS_GCF_004766045.1	42.32%
Desulfosporosinus_hippei--RS_GCF_900100785.1	41.41%
Thermoanaerobaculum_aquaticum--RS_GCF_000687145.1	63.01%
Anoxybacter_fermentans--RS_GCF_003991135.1	35.88%
Patulibacter_minatonensis--RS_GCF_000519325.1	74.03%
Patulibacter_medicamentivorans--RS_GCF_000240225.1	74.08%
Moorella_humiferrea--RS_GCF_002995755.1	53.52%
Thermaerobacter_subterraneus--RS_GCF_000183545.2	72.04%
Thermaerobacter_marianensis--RS_GCF_000184705.1	72.48%
Psychrobacillus_insolitus--RS_GCF_003254155.1	36.01%
Planococcus_citreus--RS_GCF_003664125.1	48.57%
Caldibacillus_debilis--RS_GCF_000383875.1	51.58%
Geobacillus_stearothermophilus--RS_GCF_001277805.1	53.05%
Halobacillus_halophilus--RS_GCF_000284515.1	41.82%
Piscibacillus_salipiscarius--GB_GCA_001311865.1	37.1%
Halalkalibacillus_halophilus--RS_GCF_000423105.1	37.43%
Desulfosporosinus_orientis--RS_GCF_000235605.1	42.85%
Desulfonatronum_lacustre--RS_GCF_000519265.1	59.32%
Desulfobacca_acetoxidans--GB_GCA_011333555.1	58.78%
Geoalkalibacter_subterraneus--RS_GCF_000827125.1	56.68%
Desulfuromonas_acetoxidans--RS_GCF_000167355.1	51.83%
