#Species	GC%
Desulfoglaeba_alkanexedens--RS_GCF_005377625.1	59.31%
Syntrophobacter_fumaroxidans--RS_GCF_000014965.1	59.95%
Thermodesulforhabdus_norvegica--RS_GCF_900114975.1	49.72%
Dissulfuribacter_thermophilus--RS_GCF_001687335.1	43.28%
Dissulfurirhabdus_thermomarina--RS_GCF_012979235.1	71.09%
Pelobacter_propionicus--RS_GCF_000015045.1	58.48%
Geobacter_pelophilus--RS_GCF_002117975.1	60.59%
Geobacter_pickeringii--RS_GCF_000817955.1	62.27%
Geobacter_sulfurreducens--RS_GCF_000007985.2	60.94%
Geoalkalibacter_subterraneus--RS_GCF_000827125.1	56.68%
Geothermobacter_ehrlichii--RS_GCF_008124615.1	61.86%
Thermosulfuriphilus_ammonigenes--RS_GCF_011207455.1	51.94%
Desulfovibrio_indonesiensis--RS_GCF_007625075.1	60.54%
Desulfovibrio_magneticus--RS_GCF_000526455.1	64.72%
Desulfobacterium_autotrophicum--RS_GCF_000020365.1	48.76%
Desulfosalsimonas_propionicica--RS_GCF_013761005.1	53.75%
Desulfococcus_multivorans--RS_GCF_001854245.1	56.83%
Desulfatiglans_anilini--RS_GCF_000422285.1	58.75%
Syntrophus_gentianae--RS_GCF_900109885.1	52.54%
Syntrophus_aciditrophicus--RS_GCF_000013405.1	51.46%
Desulfocarbo_indianensis--RS_GCF_001184205.1	63.05%
Desulfotalea_psychrophila--RS_GCF_000025945.1	46.63%
Desulfobulbus_mediterraneus--RS_GCF_000429965.1	57.51%
Desulfacinum_hydrothermale--RS_GCF_900176285.1	60.96%
Desulfacinum_infernum--RS_GCF_900129305.1	61.97%
