#Species	GC%
Lihuaxuella_thermophila--RS_GCF_900110165.1	48.95%
Staphylospora_marina--RS_GCF_003856495.1	56.66%
Melghirimyces_profundicolus--RS_GCF_003054245.1	55.07%
Alicyclobacillus_acidiphilus--RS_GCF_001544355.1	54.9%
Alicyclobacillus_hesperidum--RS_GCF_900107035.1	53.91%
Alicyclobacillus_sacchari--RS_GCF_004366795.1	54.52%
Kyrpidia_spormannii--RS_GCF_002804065.1	58.71%
Kyrpidia_tusciae--RS_GCF_000092905.1	59.11%
Desulfotomaculum_ferrireducens--RS_GCF_002005145.1	45.38%
Desulfotomaculum_profundi--RS_GCF_002607855.1	48.46%
Desulfotomaculum_reducens--RS_GCF_000016165.1	42.28%
Desulfotomaculum_aquiferis--GB_GCA_004143605.1	42.13%
Desulfotomaculum_aeronauticum--RS_GCF_900142375.1	43.57%
Desulfotomaculum_hydrothermale--RS_GCF_000315365.1	49.47%
Hydrogenispora_ethanolica--RS_GCF_004340685.1	54.16%
Desulfofundulus_australicus--RS_GCF_900129285.1	54.47%
Desulfofundulus_thermosubterraneus--RS_GCF_900142025.1	54.85%
Desulfofundulus_thermobenzoicus--RS_GCF_009428905.1	55.79%
Carboxydothermus_hydrogenoformans--RS_GCF_000012865.1	42.05%
Carboxydothermus_pertinax--RS_GCF_001950255.1	40.69%
Caldanaerobacter_subterraneus--RS_GCF_004345675.1	37.49%
Melghirimyces_algeriensis--RS_GCF_900182565.1	46.4%
Alicyclobacillus_acidocaldarius--RS_GCF_000024285.1	61.89%
Desulfotomaculum_nigrificans--RS_GCF_000189755.2	46.27%
Desulfofundulus_kuznetsovii--GB_GCA_000214705.1	54.88%
Geobacillus_lituanicus--GB_GCA_002243605.1	52.14%
Geobacillus_kaustophilus--RS_GCF_000948285.1	51.69%
Geobacillus_vulcani--RS_GCF_000733845.1	52.4%
Geobacillus_proteiniphilus--RS_GCF_001908025.1	51.76%
Geobacillus_thermocatenulatus--RS_GCF_002217655.1	51.77%
Geobacillus_stearothermophilus--RS_GCF_001277805.1	53.05%
Geobacillus_icigianus--RS_GCF_000750005.1	52.03%
Thermoflavimicrobium_dichotomicum--RS_GCF_900114055.1	42.53%
