#Species	GC%
Sulfurimonas_gotlandica--RS_GCF_000242915.1	33.6%
Helicobacter_cetorum--RS_GCF_000259275.1	35.54%
Helicobacter_aurati--RS_GCF_003364265.1	35.27%
Helicobacter_canadensis--RS_GCF_000162575.1	33.69%
Helicobacter_muridarum--RS_GCF_000765805.2	32.63%
Helicobacter_japonicus--RS_GCF_000762845.2	35.73%
Helicobacter_hepaticus--RS_GCF_000007905.1	35.93%
Helicobacter_bilis--RS_GCF_000686565.1	34.92%
Helicobacter_canis--RS_GCF_900451095.1	44.89%
Helicobacter_anseris--RS_GCF_003364335.1	32.1%
Helicobacter_mustelae--RS_GCF_900476215.1	42.46%
Helicobacter_brantae--RS_GCF_003364205.1	39.12%
Helicobacter_pametensis--RS_GCF_000518225.1	40.08%
Helicobacter_cholecystus--RS_GCF_003364215.1	35.13%
Helicobacter_valdiviensis--RS_GCF_003245365.1	31.77%
Geobacter_daltonii--RS_GCF_000022265.1	53.47%
Geobacter_toluenoxydans--GB_GCA_001311985.1	53.59%
Geobacter_uraniireducens--RS_GCF_000016745.1	54.24%
Pelobacter_propionicus--RS_GCF_000015045.1	58.48%
Geobacter_pickeringii--RS_GCF_000817955.1	62.27%
Geobacter_argillaceus--RS_GCF_007830735.1	58.2%
Desulfuromonas_acetexigens--RS_GCF_900111775.1	60.34%
Desulfuromonas_acetoxidans--RS_GCF_000167355.1	51.83%
Desulfuromonas_thiophila--RS_GCF_900101955.1	60.71%
Desulfuromusa_kysingii--RS_GCF_900107645.1	46.63%
Pelobacter_seleniigenes--RS_GCF_000711225.1	54.19%
Salinicoccus_roseus--RS_GCF_003814515.1	49.54%
Desulfosporosinus_fructosivorans--RS_GCF_004766045.1	42.32%
Euzebya_tangerina--RS_GCF_003074135.1	68.87%
Egibacter_rhizosphaerae--RS_GCF_004322855.1	71.67%
Desulfosporosinus_orientis--RS_GCF_000235605.1	42.85%
Saccharophagus_degradans--RS_GCF_000013665.1	45.83%
Pseudoteredinibacter_isoporae--RS_GCF_011602085.1	49.63%
Litorivivens_lipolytica--RS_GCF_014191715.1	55.65%
Mariprofundus_ferrooxydans--RS_GCF_000153765.1	51.74%
Magnetococcus_marinus--RS_GCF_000014865.1	54.17%
Sulfurimonas_crateris--RS_GCF_005217605.1	38.83%
Sulfurimonas_autotrophica--RS_GCF_000147355.1	35.24%
