#Species	GC%
Glutamicibacter_nicotianae--RS_GCF_006539525.1	61.92%
Micrococcus_terreus--RS_GCF_900116905.1	68.86%
Arthrobacter_mobilis--RS_GCF_012395835.1	68.6%
Cellulomonas_shaoxiangyii--RS_GCF_004798685.1	75.3%
Quadrisphaera_granulorum--RS_GCF_003149145.1	72.62%
Nonomuraea_pusilla--RS_GCF_900109355.1	72.37%
Actinomadura_madurae--RS_GCF_900115095.1	72.1%
Citricoccus_muralis--RS_GCF_003386075.1	68.67%
Cellulomonas_flavigena--RS_GCF_000092865.1	74.29%
Lentisphaera_araneosa--RS_GCF_000170755.1	40.95%
Nonomuraea_coxensis--RS_GCF_000379885.1	72.22%
Nonomuraea_fuscirosea--RS_GCF_003001935.1	71.0%
Nonomuraea_jiangxiensis--RS_GCF_900099965.1	70.6%
Nonomuraea_candida--RS_GCF_000725485.1	72.12%
Nonomuraea_typhae--RS_GCF_009760925.1	70.94%
Nonomuraea_endophytica--RS_GCF_014203235.1	70.57%
Nonomuraea_soli--RS_GCF_013761175.1	70.7%
Nonomuraea_solani--RS_GCF_900108335.1	70.38%
Sphaerisporangium_rubeum--RS_GCF_014207705.1	70.61%
Thermoactinospora_rubra--RS_GCF_002093975.1	71.71%
Thermocatellispora_tengchongensis--RS_GCF_014202315.1	72.56%
Actinomadura_hibisca--RS_GCF_001552635.1	72.37%
Glutamicibacter_halophytocola--RS_GCF_001302565.1	59.99%
Glutamicibacter_arilaitensis--RS_GCF_000197735.1	59.27%
