#Species	GC%
Fulvivirga_kasyanovii--RS_GCF_009711405.1	42.59%
Fulvivirga_lutimaris--RS_GCF_009711525.1	37.81%
Reichenbachiella_agariperforans--RS_GCF_900142205.1	43.35%
Reichenbachiella_faecimaris--RS_GCF_900176375.1	39.79%
Reichenbachiella_versicolor--RS_GCF_003171675.1	37.06%
Catalinimonas_alkaloidigena--RS_GCF_900100765.1	56.56%
Nafulsella_turpanensis--RS_GCF_000346615.1	45.67%
Marivirga_sericea--RS_GCF_900177665.1	35.93%
Marivirga_tractuosa--RS_GCF_000183425.1	35.52%
Marinoscillum_furvescens--RS_GCF_003386095.1	45.42%
Ekhidna_lutea--RS_GCF_900188325.1	40.33%
Algoriphagus_resistens--RS_GCF_001442615.1	41.94%
Algoriphagus_lacus--RS_GCF_003583985.1	43.92%
Algoriphagus_kandeliae--RS_GCF_004571135.1	40.41%
Belliella_buryatensis--RS_GCF_900188245.1	38.25%
Belliella_pelovolcani--RS_GCF_900156785.1	38.58%
Nitritalea_halalkaliphila--RS_GCF_000265075.1	48.58%
Flexithrix_dorotheae--RS_GCF_000379765.1	36.34%
Adhaeribacter_aerolatus--RS_GCF_007991635.1	44.47%
Adhaeribacter_rhizoryzae--RS_GCF_008629685.1	43.35%
Algoriphagus_ratkowskyi--RS_GCF_002150505.1	39.4%
Belliella_baltica--RS_GCF_000265405.1	36.81%
Adhaeribacter_aquaticus--RS_GCF_000473365.1	39.64%
Owenweeksia_hongkongensis--RS_GCF_000236705.1	40.23%
Cesiribacter_andamanensis--RS_GCF_000348925.1	54.6%
Roseivirga_pacifica--RS_GCF_005166025.1	36.13%
Roseivirga_misakiensis--RS_GCF_001747105.1	40.07%
Roseivirga_spongicola--RS_GCF_001592965.1	40.22%
Roseivirga_echinicomitans--RS_GCF_001592935.1	40.04%
Roseivirga_ehrenbergii--RS_GCF_001593005.1	39.33%
Roseivirga_seohaensis--RS_GCF_001592945.1	39.3%
Fulvivirga_aurantia--RS_GCF_009711475.1	39.42%
Fulvivirga_imtechensis--RS_GCF_000331535.1	42.39%
