#Species	GC%
Methanolobus_psychrotolerans--RS_GCF_002243045.1	41.33%
Methanolobus_zinderi--RS_GCF_013388255.1	44.06%
Methanomethylovorans_hollandica--RS_GCF_000328665.1	41.87%
Thermococcus_celer--RS_GCF_002214365.1	56.45%
Thermococcus_barossii--RS_GCF_002214465.1	54.69%
Thermococcus_thioreducens--RS_GCF_002214545.1	53.45%
Thermococcus_piezophilus--RS_GCF_001647085.1	51.11%
Thermococcus_profundus--RS_GCF_002214585.1	53.09%
Thermococcus_celericrescens--RS_GCF_001484195.1	54.29%
Thermococcus_siculi--RS_GCF_002214505.1	54.99%
Thermococcus_cleftensis--RS_GCF_000265525.1	55.82%
Thermococcus_kodakarensis--RS_GCF_000009965.1	52.0%
Thermococcus_peptonophilus--RS_GCF_001592435.1	51.74%
Thermococcus_gammatolerans--RS_GCF_000022365.1	53.56%
Thermococcus_eurythermalis--RS_GCF_000769655.1	53.45%
Thermococcus_nautili--RS_GCF_000585495.1	54.84%
Thermococcus_guaymasensis--RS_GCF_000816105.1	52.86%
Thermococcus_zilligii--RS_GCF_000258515.1	54.48%
Thermococcus_pacificus--RS_GCF_002214485.1	54.24%
Thermococcus_gorgonarius--RS_GCF_002214385.1	51.67%
Thermococcus_barophilus--RS_GCF_000151105.2	41.67%
Thermococcus_paralvinellae--RS_GCF_000517445.1	40.3%
Palaeococcus_ferrophilus--RS_GCF_000966265.1	54.31%
Palaeococcus_pacificus--RS_GCF_000725425.1	43.04%
Methanocaldococcus_infernus--RS_GCF_000092305.1	33.62%
Acidiplasma_aeolicum--RS_GCF_001402945.1	33.98%
Picrophilus_oshimae--RS_GCF_900176435.1	35.98%
Cuniculiplasma_divulgatum--RS_GCF_900083515.1	37.3%
Thermogymnomonas_acidicola--RS_GCF_001316105.1	56.43%
Thermoplasma_acidophilum--RS_GCF_000195915.1	45.99%
Thermoplasma_volcanium--RS_GCF_000011185.1	39.92%
Methanomassiliicoccus_luminyensis--RS_GCF_000308215.1	60.48%
Methanoculleus_bourgensis--RS_GCF_000304355.2	60.64%
Methanolobus_tindarius--RS_GCF_000504205.1	39.79%
Methanocaldococcus_jannaschii--RS_GCF_000091665.1	31.29%
Methanoregula_boonei--RS_GCF_000017625.1	54.51%
Methanoregula_formicica--RS_GCF_000327485.1	55.2%
Methanolinea_tarda--GB_GCA_000235685.2	56.51%
Methanosphaerula_palustris--RS_GCF_000021965.1	55.35%
Methanoculleus_thermophilus--RS_GCF_001571405.1	59.32%
