#Species	GC%
Methanocaldococcus_fervens--RS_GCF_000023985.1	32.22%
Methanocaldococcus_bathoardescens--RS_GCF_000739065.1	30.79%
Methanocaldococcus_jannaschii--RS_GCF_000091665.1	31.29%
Methanocaldococcus_vulcanius--RS_GCF_000024625.1	31.58%
Methanocaldococcus_infernus--RS_GCF_000092305.1	33.62%
Methanocaldococcus_villosus--RS_GCF_000371805.1	29.5%
Pyrodictium_occultum--RS_GCF_001462395.1	63.5%
Ignisphaera_aggregans--GB_GCA_011375585.1	33.86%
Nitrosopumilus_piranensis--RS_GCF_000875775.1	33.82%
Nitrosopumilus_maritimus--RS_GCF_000018465.1	34.17%
Nitrosopumilus_adriaticus--RS_GCF_000956175.1	33.41%
Nitrosarchaeum_koreense--RS_GCF_000220175.1	32.67%
Nitrososphaera_viennensis--RS_GCF_000698785.1	52.72%
Methanopyrus_kandleri--RS_GCF_000007185.1	61.16%
Halomicrobium_mukohataei--RS_GCF_000023965.1	65.53%
Methanolobus_tindarius--RS_GCF_000504205.1	39.79%
Halegenticoccus_soli--RS_GCF_002844195.1	66.86%
Halomicrobium_katesii--RS_GCF_000379085.1	65.0%
Methanolobus_vulcani--RS_GCF_006546655.1	40.2%
Methanococcus_vannielii--RS_GCF_000017165.1	31.33%
Methanococcus_voltae--RS_GCF_000006175.1	28.59%
Methanococcus_maripaludis--RS_GCF_000017225.1	33.28%
Methanococcus_aeolicus--RS_GCF_000017185.1	30.04%
Methanothermococcus_okinawensis--RS_GCF_000179575.2	29.28%
Methanothermococcus_thermolithotrophicus--RS_GCF_000376965.1	32.8%
Methanofervidicoccus_abyssi--RS_GCF_004310395.1	35.25%
Methanotorris_formicicus--RS_GCF_000243455.1	32.44%
Methanotorris_igneus--RS_GCF_000214415.1	32.3%
