#Species	GC%
Thiocapsa_marina--GCF_000223985.1	64.11%
Desulfovibrio_piger--GCF_900116045.1	64.18%
Cellvibrio_mixtus--GCF_000766945.1	46.56%
Lampropedia_hyalina--GCF_900129055.1	61.37%
Chitiniphilus_shinanonensis--GCF_000374805.1	66.39%
Cupriavidus_necator--GCF_000219215.1	65.47%
Lentisphaera_araneosa--GCF_000170755.1	40.95%
Noviherbaspirillum_massiliense--GCF_000312045.1	59.73%
Thiocapsa_roseopersicina--GCF_900106925.1	64.32%
Macromonas_bipunctata--GCF_002837135.1	63.77%
Halodesulfovibrio_aestuarii--GCF_000384815.1	45.11%
Desulfovibrio_legallii--GCF_900102485.1	64.8%
Thiocystis_violascens--GCF_000227745.2	62.61%
Microbulbifer_yueqingensis--GCF_900100355.1	62.01%
Phycisphaera_mikurensis--GCF_000284115.1	73.22%
Cupriavidus_taiwanensis--GCF_000372525.1	67.21%
Desulfovibrio_mexicanus--GCF_900188225.1	65.6%
Ectothiorhodospira_mobilis--GCF_900114895.1	68.24%
Halodesulfovibrio_marinisediminis--GCF_900129975.1	44.95%
Schlegelella_thermodepolymerans--GCF_002933415.1	70.31%
Lautropia_mirabilis--GCF_000186425.1	65.27%
Cellvibrio_japonicus--GCF_000019225.1	51.99%
