#Species	GC%
Thermodesulfobacterium_commune--RS_GCF_000734015.1	36.98%
Thermodesulfobacterium_hveragerdense--RS_GCF_000423845.1	37.03%
Thermodesulfobacterium_thermophilum--RS_GCF_000421605.1	37.07%
Caldimicrobium_thiodismutans--RS_GCF_001548275.1	38.3%
Thermosulfurimonas_dismutans--RS_GCF_001652585.1	50.12%
Thermosulfurimonas_marina--RS_GCF_012317585.1	58.9%
Thermodesulfatator_indicus--RS_GCF_000217795.1	42.43%
Thermodesulfatator_autotrophicus--RS_GCF_001642325.1	43.07%
Thermosulfuriphilus_ammonigenes--RS_GCF_011207455.1	51.94%
Geobacillus_proteiniphilus--RS_GCF_001908025.1	51.76%
Geobacillus_thermocatenulatus--RS_GCF_002217655.1	51.77%
Geobacillus_stearothermophilus--RS_GCF_001277805.1	53.05%
Geobacillus_thermodenitrificans--RS_GCF_000496575.1	49.05%
Geobacillus_subterraneus--RS_GCF_001618685.1	52.2%
Staphylospora_marina--RS_GCF_003856495.1	56.66%
Thermus_antranikianii--RS_GCF_000423905.1	64.77%
Marinithermus_hydrothermalis--RS_GCF_000195335.1	68.08%
Thermanaeromonas_toyohensis--RS_GCF_900176005.1	49.5%
Desulfovirgula_thermocuniculi--RS_GCF_000429345.1	61.27%
Fervidicola_ferrireducens--RS_GCF_001562425.1	45.82%
Brockia_lithotrophica--GB_GCA_003050565.1	64.29%
Pseudothermotoga_elfii--RS_GCF_000504085.1	38.72%
Thermotoga_profunda--RS_GCF_000828675.1	38.8%
Thermotoga_caldifontis--RS_GCF_000828655.1	51.33%
Pseudothermotoga_hypogea--RS_GCF_000816145.1	49.47%
Pseudothermotoga_thermarum--RS_GCF_000217815.1	40.32%
Thermotoga_maritima--RS_GCF_000008545.1	46.25%
Thermotoga_neapolitana--RS_GCF_000018945.1	46.94%
Thermotoga_petrophila--RS_GCF_000016785.1	46.1%
Acetomicrobium_hydrogeniformans--RS_GCF_000160455.2	46.53%
Acetomicrobium_thermoterrenum--RS_GCF_900107215.1	46.32%
Hippea_maritima--RS_GCF_000194135.1	37.47%
Thermus_aquaticus--RS_GCF_001280255.1	67.12%
Fulvimonas_soli--RS_GCF_003148905.1	71.69%
Inmirania_thermothiophila--RS_GCF_003751635.1	74.26%
Alkalispirillum_mobile--RS_GCF_003664325.1	66.38%
Hippea_alviniae--RS_GCF_000420385.1	37.03%
Geoalkalibacter_ferrihydriticus--RS_GCF_000820505.1	57.94%
Anaeromyxobacter_dehalogenans--RS_GCF_000013385.1	74.91%
