#Species	GC%
Methanobacterium_congolense--RS_GCF_900095295.1	38.49%
Methanobacterium_paludis--RS_GCF_000214725.1	35.73%
Methanothermobacter_marburgensis--RS_GCF_000145295.1	48.64%
Methanothermobacter_thermautotrophicus--RS_GCF_000008645.1	49.54%
Methanothermus_fervidus--RS_GCF_000166095.1	31.64%
Thermococcus_thioreducens--RS_GCF_002214545.1	53.45%
Thermococcus_piezophilus--RS_GCF_001647085.1	51.11%
Thermococcus_celericrescens--RS_GCF_001484195.1	54.29%
Thermococcus_cleftensis--RS_GCF_000265525.1	55.82%
Thermococcus_kodakarensis--RS_GCF_000009965.1	52.0%
Thermococcus_eurythermalis--RS_GCF_000769655.1	53.45%
Thermococcus_pacificus--RS_GCF_002214485.1	54.24%
Pyrococcus_furiosus--RS_GCF_000007305.1	40.77%
Pyrococcus_kukulkanii--RS_GCF_001577775.1	44.62%
Thermococcus_litoralis--RS_GCF_000246985.2	43.09%
Thermococcus_sibiricus--RS_GCF_000022545.1	40.2%
Archaeoglobus_fulgidus--GB_GCA_011048195.1	43.08%
Geoglobus_acetivorans--RS_GCF_000789255.1	46.84%
Geoglobus_ahangari--RS_GCF_001006045.1	53.11%
Archaeoglobus_sulfaticallidus--RS_GCF_000385565.1	43.24%
Methanococcus_vannielii--RS_GCF_000017165.1	31.33%
Methanococcus_aeolicus--RS_GCF_000017185.1	30.04%
Methanothermococcus_okinawensis--RS_GCF_000179575.2	29.28%
Methanothermococcus_thermolithotrophicus--RS_GCF_000376965.1	32.8%
Methanofervidicoccus_abyssi--RS_GCF_004310395.1	35.25%
Methanotorris_formicicus--RS_GCF_000243455.1	32.44%
Methanotorris_igneus--RS_GCF_000214415.1	32.3%
Methanocaldococcus_fervens--RS_GCF_000023985.1	32.22%
Methanocaldococcus_bathoardescens--RS_GCF_000739065.1	30.79%
Methanocaldococcus_jannaschii--RS_GCF_000091665.1	31.29%
Methanocaldococcus_vulcanius--RS_GCF_000024625.1	31.58%
Methanocaldococcus_infernus--RS_GCF_000092305.1	33.62%
Methanocaldococcus_villosus--RS_GCF_000371805.1	29.5%
Methanobacterium_formicicum--GB_GCA_001316325.1	41.24%
Methanonatronarchaeum_thermophilum--RS_GCF_002153915.1	37.9%
Methanobrevibacter_smithii--RS_GCF_002252585.1	30.29%
Methanosphaera_cuniculi--RS_GCF_003149675.1	28.08%
Methanosphaera_stadtmanae--RS_GCF_000012545.1	27.63%
Methanobacterium_subterraneum--RS_GCF_002813695.1	39.4%
