#Species	GC%
Exiguobacterium_indicum--RS_GCF_001939065.1	46.64%
Exiguobacterium_alkaliphilum--RS_GCF_000714435.1	52.8%
Exiguobacterium_aurantiacum--RS_GCF_001766415.1	52.21%
Exiguobacterium_mexicanum--RS_GCF_005960665.1	52.07%
Exiguobacterium_profundum--RS_GCF_001909285.1	47.93%
Psychrobacillus_glaciei--RS_GCF_008973485.1	35.97%
Psychrobacillus_lasiicapitis--RS_GCF_006861795.1	37.06%
Chryseomicrobium_excrementi--RS_GCF_002798305.1	43.67%
Sporosarcina_ureae--RS_GCF_002109325.1	41.4%
Sporosarcina_luteola--RS_GCF_007991495.1	43.22%
Filibacter_tadaridae--RS_GCF_900609045.1	41.42%
Sporosarcina_koreensis--RS_GCF_000826145.2	53.98%
Paenisporosarcina_indica--RS_GCF_001939075.1	38.47%
Planococcus_salinus--RS_GCF_003719725.1	46.13%
Neobacillus_notoginsengisoli--RS_GCF_003515685.1	43.78%
Mesobacillus_zeae--RS_GCF_003570705.1	43.2%
Cytobacillus_gottheilii--RS_GCF_001636345.1	38.92%
Ectobacillus_funiculus--RS_GCF_004138295.1	40.3%
Bacillus_wudalianchiensis--RS_GCF_001685015.1	41.18%
Ammoniphilus_oxalaticus--RS_GCF_003609605.1	43.81%
Thermoactinomyces_daqus--RS_GCF_000763315.1	48.83%
Ureibacillus_thermosphaericus--RS_GCF_012396605.1	35.71%
Psychrobacillus_insolitus--RS_GCF_003254155.1	36.01%
Planococcus_citreus--RS_GCF_003664125.1	48.57%
Ectobacillus_panaciterrae--RS_GCF_000430785.1	40.47%
Thermoactinomyces_vulgaris--RS_GCF_003688725.1	47.9%
Desulfovibrio_indonesiensis--RS_GCF_007625075.1	60.54%
Desulfobacca_acetoxidans--GB_GCA_011333555.1	58.78%
Desulfarculus_baarsii--RS_GCF_000143965.1	65.7%
Geobacter_sulfurreducens--RS_GCF_000007985.2	60.94%
Geoalkalibacter_ferrihydriticus--RS_GCF_000820505.1	57.94%
Geothermobacter_ehrlichii--RS_GCF_008124615.1	61.86%
Exiguobacterium_sibiricum--RS_GCF_000620865.1	46.77%
Exiguobacterium_acetylicum--RS_GCF_000702605.1	47.03%
