#Species	GC%
Bizionia_echini--RS_GCF_900115185.1	33.63%
Formosa_maritima--RS_GCF_008084905.1	31.06%
Mangrovimonas_spongiae--RS_GCF_003944795.1	33.95%
Mangrovimonas_yunxiaonensis--RS_GCF_000733475.1	39.24%
Meridianimaribacter_flavus--RS_GCF_004366715.1	33.16%
Xanthomarina_gelatinilytica--RS_GCF_000348685.1	35.37%
Formosa_agariphila--RS_GCF_000723205.1	33.28%
Flavivirga_eckloniae--RS_GCF_002886045.1	33.93%
Salinimicrobium_terrae--RS_GCF_000424665.1	40.33%
Nonlabens_marinus--RS_GCF_000831385.1	39.53%
Aequorivita_soesokkakensis--RS_GCF_001641085.1	37.85%
Riemerella_anatipestifer--RS_GCF_009663465.1	35.24%
Elizabethkingia_anophelis--RS_GCF_002023665.2	35.46%
Elizabethkingia_meningoseptica--RS_GCF_000367325.1	36.44%
Brumimicrobium_salinarum--RS_GCF_002844555.1	34.32%
Crocinitomix_catalasitica--RS_GCF_000621625.1	34.05%
Crocinitomix_algicola--RS_GCF_001661595.2	35.35%
Putridiphycobacter_roseus--RS_GCF_003234935.1	34.1%
Owenweeksia_hongkongensis--RS_GCF_000236705.1	40.23%
Luteibaculum_oceani--RS_GCF_007995015.1	39.88%
Acidiluteibacter_ferrifornacis--RS_GCF_009909615.1	35.56%
Vicingus_serpentipes--RS_GCF_007993035.1	31.05%
Cryomorpha_ignava--RS_GCF_010686655.1	40.32%
Phaeocystidibacter_marisrubri--RS_GCF_008933165.1	44.74%
Salibacter_halophilus--RS_GCF_008806325.1	40.31%
Thermaurantimonas_aggregans--RS_GCF_003851885.1	42.6%
Mariniphaga_anaerophila--RS_GCF_900129025.1	41.77%
Mariniphaga_sediminis--RS_GCF_003573545.1	41.74%
Tangfeifania_diversioriginum--RS_GCF_900141875.1	41.84%
Marinifilum_breve--RS_GCF_003202155.1	35.77%
Marinifilum_flexuosum--RS_GCF_003610555.1	35.88%
Lentimicrobium_saccharophilum--RS_GCF_001192835.1	46.68%
Pararcticibacter_amylolyticus--RS_GCF_003130405.1	44.43%
Pedobacter_nanyangensis--RS_GCF_003313505.1	41.11%
Pedobacter_zeae--RS_GCF_014196715.1	40.32%
Anseongella_ginsenosidimutans--RS_GCF_008033235.1	49.92%
Winogradskyella_thalassocola--RS_GCF_900099995.1	33.27%
Bizionia_paragorgiae--RS_GCF_900107625.1	35.21%
Formosa_algae--RS_GCF_001439665.1	33.4%
Nonlabens_tegetincola--RS_GCF_002954355.1	35.7%
Aequorivita_antarctica--RS_GCF_007997155.1	37.23%
Brumimicrobium_glaciale--RS_GCF_004152935.1	33.8%
Phaeocystidibacter_luteus--RS_GCF_008933115.1	46.47%
Marinifilum_fragile--RS_GCF_001310955.1	35.71%
Robiginitalea_biformata--RS_GCF_000024125.1	55.29%
Winogradskyella_algicola--RS_GCF_005869935.1	33.91%
