#Species	GC%
Halorubrum_kocurii--RS_GCF_000337355.1	66.86%
Halorubrum_aethiopicum--RS_GCF_001542905.1	67.97%
Halorubrum_aquaticum--RS_GCF_900113615.1	67.4%
Halobacterium_jilantaiense--RS_GCF_900110535.1	67.93%
Methanofollis_ethanolicus--RS_GCF_001571385.1	60.33%
Methanofollis_liminatans--RS_GCF_000275865.1	60.96%
Methanospirillum_hungatei--RS_GCF_000013445.1	45.15%
Methanoregula_boonei--RS_GCF_000017625.1	54.51%
Methanoregula_formicica--RS_GCF_000327485.1	55.2%
Methanolinea_tarda--GB_GCA_000235685.2	56.51%
Methanosphaerula_palustris--RS_GCF_000021965.1	55.35%
Methanoculleus_thermophilus--RS_GCF_001571405.1	59.32%
Methanoculleus_taiwanensis--RS_GCF_004102725.1	59.97%
Methanolacinia_paynteri--RS_GCF_000784355.1	47.43%
Methanolacinia_petrolearia--RS_GCF_000147875.1	47.4%
Methanoplanus_limicola--RS_GCF_000243255.1	42.19%
Methanogenium_cariaci--RS_GCF_001315945.1	52.06%
Methanothermobacter_tenebrarum--RS_GCF_003264935.1	40.03%
Methanothermus_fervidus--RS_GCF_000166095.1	31.64%
Methanococcus_aeolicus--RS_GCF_000017185.1	30.04%
Methanothermococcus_okinawensis--RS_GCF_000179575.2	29.28%
Methanofervidicoccus_abyssi--RS_GCF_004310395.1	35.25%
Thermogymnomonas_acidicola--RS_GCF_001316105.1	56.43%
Thermofilum_adornatum--RS_GCF_000813245.1	46.4%
Thermofilum_pendens--GB_GCA_011363115.1	59.33%
Halorubrum_saccharovorum--RS_GCF_000337915.1	66.88%
Halobacterium_salinarum--RS_GCF_008124605.1	66.55%
Methanofollis_tationis--RS_GCF_013377755.1	61.14%
Methanoculleus_bourgensis--RS_GCF_000304355.2	60.64%
Methanothermobacter_thermautotrophicus--RS_GCF_000008645.1	49.54%
Methanococcus_vannielii--RS_GCF_000017165.1	31.33%
Methanothermococcus_thermolithotrophicus--RS_GCF_000376965.1	32.8%
Halorubrum_trapanicum--RS_GCF_002355655.1	68.63%
Halorubrum_xinjiangense--RS_GCF_900102375.1	68.25%
Halorubrum_lipolyticum--RS_GCF_000337375.1	68.01%
Halorubrum_halophilum--RS_GCF_000739595.1	65.14%
Halorubrum_depositum--RS_GCF_007671725.1	68.63%
Halorubrum_aidingense--RS_GCF_000336995.1	67.19%
