#Species	GC%
Methanobrevibacter_millerae--RS_GCF_900103415.1	36.42%
Methanobrevibacter_smithii--RS_GCF_002252585.1	30.29%
Methanosphaera_cuniculi--RS_GCF_003149675.1	28.08%
Methanosphaera_stadtmanae--RS_GCF_000012545.1	27.63%
Methanothermobacter_tenebrarum--RS_GCF_003264935.1	40.03%
Methanothermus_fervidus--RS_GCF_000166095.1	31.64%
Thermococcus_celer--RS_GCF_002214365.1	56.45%
Thermococcus_barossii--RS_GCF_002214465.1	54.69%
Thermococcus_thioreducens--RS_GCF_002214545.1	53.45%
Thermococcus_piezophilus--RS_GCF_001647085.1	51.11%
Thermococcus_profundus--RS_GCF_002214585.1	53.09%
Thermococcus_celericrescens--RS_GCF_001484195.1	54.29%
Thermococcus_siculi--RS_GCF_002214505.1	54.99%
Thermococcus_cleftensis--RS_GCF_000265525.1	55.82%
Thermococcus_kodakarensis--RS_GCF_000009965.1	52.0%
Thermococcus_peptonophilus--RS_GCF_001592435.1	51.74%
Thermococcus_gammatolerans--RS_GCF_000022365.1	53.56%
Thermococcus_eurythermalis--RS_GCF_000769655.1	53.45%
Thermococcus_nautili--RS_GCF_000585495.1	54.84%
Thermococcus_guaymasensis--RS_GCF_000816105.1	52.86%
Thermococcus_barophilus--RS_GCF_000151105.2	41.67%
Thermococcus_paralvinellae--RS_GCF_000517445.1	40.3%
Pyrococcus_furiosus--RS_GCF_000007305.1	40.77%
Pyrococcus_horikoshii--RS_GCF_000011105.1	41.88%
Thermococcus_chitonophagus--RS_GCF_002214605.1	44.92%
Pyrococcus_kukulkanii--RS_GCF_001577775.1	44.62%
Pyrococcus_yayanosii--RS_GCF_000215995.1	51.64%
Archaeoglobus_profundus--RS_GCF_000025285.1	42.0%
Ferroglobus_placidus--RS_GCF_000025505.1	44.14%
Archaeoglobus_fulgidus--GB_GCA_011048195.1	43.08%
Methanococcus_aeolicus--RS_GCF_000017185.1	30.04%
Methanothermococcus_okinawensis--RS_GCF_000179575.2	29.28%
Methanothermococcus_thermolithotrophicus--RS_GCF_000376965.1	32.8%
Methanotorris_formicicus--RS_GCF_000243455.1	32.44%
Methanomassiliicoccus_luminyensis--RS_GCF_000308215.1	60.48%
Persephonella_marina--RS_GCF_000021565.1	37.08%
Methanothermobacter_thermautotrophicus--RS_GCF_000008645.1	49.54%
Methanococcus_vannielii--RS_GCF_000017165.1	31.33%
Methanotorris_igneus--RS_GCF_000214415.1	32.3%
Persephonella_hydrogeniphila--RS_GCF_900215515.1	35.11%
Methanonatronarchaeum_thermophilum--RS_GCF_002153915.1	37.9%
Methanobrevibacter_gottschalkii--RS_GCF_003814835.1	30.02%
