#Species	GC%
Lamprocystis_purpurea--RS_GCF_000379525.1	64.29%
Thiohalocapsa_marina--RS_GCF_008632335.1	65.94%
Thermochromatium_tepidum--RS_GCF_009664085.1	63.41%
Lampropedia_hyalina--RS_GCF_900129055.1	61.37%
Macromonas_bipunctata--RS_GCF_002837135.1	63.77%
Noviherbaspirillum_massiliense--RS_GCF_000312045.1	59.73%
Trinickia_fusca--RS_GCF_003628145.1	63.46%
Lautropia_mirabilis--RS_GCF_900637555.1	65.48%
Cupriavidus_necator--RS_GCF_000744095.1	65.04%
Cupriavidus_taiwanensis--RS_GCF_000069785.1	66.99%
Cupriavidus_metallidurans--RS_GCF_000196015.1	63.53%
Polynucleobacter_sphagniphilus--RS_GCF_001953355.1	45.63%
Polynucleobacter_paneuropaeus--RS_GCF_003261235.1	45.56%
Chromobacterium_sphagni--RS_GCF_001855555.1	63.42%
Chitiniphilus_eburneus--RS_GCF_005048205.1	63.96%
Chitiniphilus_shinanonensis--RS_GCF_000374805.1	66.39%
Thauera_linaloolentis--RS_GCF_000310205.1	66.58%
Thauera_humireducens--RS_GCF_001051995.2	66.42%
Thauera_terpenica--RS_GCF_000443165.1	64.28%
Thauera_hydrothermalis--RS_GCF_003345255.1	63.58%
Thiorhodospira_sibirica--RS_GCF_000227725.1	56.7%
Desulfovibrio_desulfuricans--RS_GCF_000022125.1	58.07%
Desulfovibrio_legallii--RS_GCF_004309735.1	62.92%
Desulfovibrio_piger--RS_GCF_000156375.1	62.15%
Halodesulfovibrio_aestuarii--RS_GCF_000384815.1	45.11%
Halodesulfovibrio_marinisediminis--RS_GCF_900129975.1	44.95%
Desulfovibrio_mexicanus--RS_GCF_900188225.1	65.6%
Desulfovibrio_fructosivorans--RS_GCF_000179555.1	63.85%
Desulfovibrio_magneticus--RS_GCF_000526455.1	64.72%
Desulfurivibrio_alkaliphilus--RS_GCF_000092205.1	60.29%
Lentisphaera_araneosa--RS_GCF_000170755.1	40.95%
Algisphaera_agarilytica--RS_GCF_014207595.1	63.2%
Phycisphaera_mikurensis--RS_GCF_000284115.1	73.22%
Thiocapsa_roseopersicina--RS_GCF_900106925.1	64.32%
Trinickia_symbiotica--RS_GCF_002934455.1	63.0%
Chromobacterium_violaceum--RS_GCF_000007705.1	64.83%
Spongiibacter_marinus--RS_GCF_000422345.1	55.12%
Microbulbifer_yueqingensis--RS_GCF_900100355.1	62.01%
Thiocystis_violascens--RS_GCF_000227745.2	62.61%
Allochromatium_vinosum--RS_GCF_000025485.1	64.19%
Thiocapsa_marina--RS_GCF_000223985.1	64.11%
