#Species	GC%
Methanobrevibacter_millerae--RS_GCF_900103415.1	36.42%
Methanobrevibacter_smithii--RS_GCF_002252585.1	30.29%
Methanobrevibacter_curvatus--RS_GCF_001639295.1	25.72%
Methanosphaera_cuniculi--RS_GCF_003149675.1	28.08%
Methanosphaera_stadtmanae--RS_GCF_000012545.1	27.63%
Methanobacterium_subterraneum--RS_GCF_002813695.1	39.4%
Methanobacterium_formicicum--GB_GCA_001316325.1	41.24%
Methanobacterium_congolense--RS_GCF_900095295.1	38.49%
Methanobacterium_lacus--RS_GCF_000191585.1	35.83%
Thermococcus_zilligii--RS_GCF_000258515.1	54.48%
Thermococcus_pacificus--RS_GCF_002214485.1	54.24%
Thermococcus_gorgonarius--RS_GCF_002214385.1	51.67%
Thermococcus_litoralis--RS_GCF_000246985.2	43.09%
Thermococcus_sibiricus--RS_GCF_000022545.1	40.2%
Palaeococcus_ferrophilus--RS_GCF_000966265.1	54.31%
Palaeococcus_pacificus--RS_GCF_000725425.1	43.04%
Methanocaldococcus_jannaschii--RS_GCF_000091665.1	31.29%
Methanocaldococcus_vulcanius--RS_GCF_000024625.1	31.58%
Methanofollis_tationis--RS_GCF_013377755.1	61.14%
Methanolacinia_paynteri--RS_GCF_000784355.1	47.43%
Methanofollis_liminatans--RS_GCF_000275865.1	60.96%
Methanoregula_boonei--RS_GCF_000017625.1	54.51%
Methanoregula_formicica--RS_GCF_000327485.1	55.2%
Methanolinea_tarda--GB_GCA_000235685.2	56.51%
Methanosphaerula_palustris--RS_GCF_000021965.1	55.35%
Methanolacinia_petrolearia--RS_GCF_000147875.1	47.4%
Methanoplanus_limicola--RS_GCF_000243255.1	42.19%
Methanogenium_cariaci--RS_GCF_001315945.1	52.06%
Methanonatronarchaeum_thermophilum--RS_GCF_002153915.1	37.9%
Methanobrevibacter_gottschalkii--RS_GCF_003814835.1	30.02%
