#Matching species	Similarity (%)
Methanofervidicoccus abyssi--Methanococcaceae--BFAX01000000 (Valid)	78.19444444444444
Methanothermococcus okinawensis--Methanococcaceae--CP002792 (Valid)	77.46870653685674
Methanocaldococcus bathoardescens--Methanocaldococcaceae--CP009149 (Valid)	77.08333333333334
Methanocaldococcus jannaschii--Methanocaldococcaceae--L77117 (Valid)	77.08333333333334
Methanothermococcus thermolithotrophicus--Methanococcaceae--AQXV01000039 (Valid)	76.91237830319889
Methanocaldococcus fervens--Methanocaldococcaceae--CP001696 (Valid)	76.80555555555556
Methanotorris formicicus--Methanocaldococcaceae--AGJL01000032 (Valid)	76.77329624478443
Methanocaldococcus vulcanius--Methanocaldococcaceae--AF051404 (Valid)	76.77329624478443
Methanotorris igneus--Methanocaldococcaceae--CP002737 (Valid)	76.38888888888889
Methanococcus aeolicus--Methanococcaceae--CP000743 (Valid)	76.35605006954103
Methanocaldococcus indicus--Methanocaldococcaceae--AF547621 (Valid)	76.27118644067797
Methanococcus vannielii--Methanococcaceae--CP000742 (Valid)	75.59274755927476
Methanothermobacter thermoflexus--Methanobacteriaceae--X99047 (Valid)	74.33380084151473
Methanothermobacter defluvii--Methanobacteriaceae--X99046 (Valid)	74.23398328690809
Methanothermobacter marburgensis--Methanobacteriaceae--X15364 (Valid)	74.20249653259361
Methanothermus sociabilis--Methanothermaceae--HE654004 (Valid)	74.06380027739252
Methanothermobacter thermautotrophicus--Methanobacteriaceae--AE000666 (Valid)	73.9251040221914
Methanothermus fervidus--Methanothermaceae--CP002278 (Valid)	73.64771151178918
Methanothermobacter thermophilus--Methanobacteriaceae--X99048 (Valid)	73.48703170028818
Methanothermobacter wolfei--Methanobacteriaceae--AB104858 (Valid)	73.30508474576271
Methanobrevibacter millerae--Methanobacteriaceae--AY196673 (Valid)	73.29192546583852
Methanococcus maripaludis--Methanococcaceae--U38484 (Valid)	73.08228730822873
Methanobrevibacter smithii--Methanobacteriaceae--CP000678 (Valid)	72.67683772538142
Methanobacterium thermaggregans--Methanobacteriaceae--AF095264 (Valid)	72.5381414701803
Methanosphaera cuniculi--Methanobacteriaceae--HE582783 (Valid)	72.22222222222221
Methanobrevibacter woesei--Methanobacteriaceae--U55237 (Valid)	71.46892655367232
Saliphagus infecundisoli--Natrialbaceae--KY419833 (Valid)	71.42857142857143
Methanobrevibacter thaueri--Methanobacteriaceae--U55236 (Valid)	71.34502923976608
Halorientalis pallida--Haloarculaceae--MH447285--NOT VALID	71.0124826629681
Halobaculum saliterrae--Halorubraceae--MF767880--NOT VALID	70.99811676082862
Haloferax sulfurifontis--Haloferacaceae--AB663382 (Valid)	70.79276773296245
Halorientalis persicus--Haloarculaceae--KF313134 (Valid)	70.73509015256589
Halorientalis regularis--Haloarculaceae--GQ282621 (Valid)	70.73509015256589
Haloferax larsenii--Haloferacaceae--AY838278 (Valid)	70.45769764216367
Haloferax mucosum--Haloferacaceae--AOLN01000016 (Valid)	70.31900138696255
Halobaculum magnesiiphilum--Halorubraceae--AB627357 (Valid)	70.31900138696255
Halostella pelagica--Halobacteriaceae--MN480560--NOT VALID	70.31900138696255
Haloferax alexandrinus--Haloferacaceae--AB037474 (Valid)	70.2364394993046
Haloferax prahovense--Haloferacaceae--AB663381 (Valid)	70.2364394993046
Haloferax gibbonsii--Haloferacaceae--D13378 (Valid)	70.2364394993046
Haloferax denitrificans--Haloferacaceae--AB663374 (Valid)	70.18030513176144
Halovivax cerinus--Natrialbaceae--KJ406208 (Valid)	70.10159651669086
Haloferax mediterranei--Haloferacaceae--CP001868 (Valid)	70.04160887656033
Haloferax elongans--Haloferacaceae--AB477972 (Valid)	69.95768688293371
Haloferax volcanii--Haloferacaceae--AB663383 (Valid)	69.90291262135922
Haloferax lucentense--Haloferacaceae--AB081732 (Valid)	69.76421636615811
Haloferax chudinovii--Haloferacaceae--JX669135 (Valid)	69.7350069735007
Halorussus litoreus--Halobacteriaceae--KT261641 (Valid)	69.4868238557559
Halovivax asiaticus--Natrialbaceae--AOIQ01000016 (Valid)	69.34812760055479
Halovivax ruber--Natrialbaceae--AB663453 (Valid)	69.07073509015257
