#Species	GC%
Haloferax_elongans--RS_GCF_000336755.1	61.15%
Haloferax_larsenii--RS_GCF_000336955.1	62.03%
Halovivax_asiaticus--RS_GCF_000337515.1	64.45%
Halovivax_ruber--RS_GCF_000328525.1	64.34%
Halostella_pelagica--RS_GCF_005954745.1	63.06%
Halorussus_litoreus--RS_GCF_003382685.1	65.89%
Halorientalis_persicus--RS_GCF_900110215.1	63.46%
Halorientalis_regularis--RS_GCF_900102305.1	64.95%
Methanobrevibacter_woesei--RS_GCF_003111605.1	29.9%
Methanobrevibacter_thaueri--RS_GCF_003111625.1	36.87%
Methanobrevibacter_millerae--RS_GCF_900103415.1	36.42%
Methanobrevibacter_smithii--RS_GCF_002252585.1	30.29%
Methanosphaera_cuniculi--RS_GCF_003149675.1	28.08%
Methanothermobacter_marburgensis--RS_GCF_000145295.1	48.64%
Methanothermobacter_thermautotrophicus--RS_GCF_000008645.1	49.54%
Methanothermus_fervidus--RS_GCF_000166095.1	31.64%
Methanococcus_vannielii--RS_GCF_000017165.1	31.33%
Methanococcus_maripaludis--RS_GCF_000017225.1	33.28%
Methanococcus_aeolicus--RS_GCF_000017185.1	30.04%
Methanothermococcus_okinawensis--RS_GCF_000179575.2	29.28%
Methanothermococcus_thermolithotrophicus--RS_GCF_000376965.1	32.8%
Methanofervidicoccus_abyssi--RS_GCF_004310395.1	35.25%
Methanotorris_formicicus--RS_GCF_000243455.1	32.44%
Methanotorris_igneus--RS_GCF_000214415.1	32.3%
Methanocaldococcus_fervens--RS_GCF_000023985.1	32.22%
Methanocaldococcus_bathoardescens--RS_GCF_000739065.1	30.79%
Methanocaldococcus_jannaschii--RS_GCF_000091665.1	31.29%
Methanocaldococcus_vulcanius--RS_GCF_000024625.1	31.58%
Halostella_salina--RS_GCF_003675855.1	67.23%
Halorussus_rarus--RS_GCF_003369835.1	68.07%
Methanosphaera_stadtmanae--RS_GCF_000012545.1	27.63%
Haloferax_volcanii--RS_GCF_000025685.1	65.48%
Haloferax_prahovense--RS_GCF_000336815.1	65.69%
Haloferax_gibbonsii--RS_GCF_000336775.1	65.85%
Haloferax_denitrificans--RS_GCF_000337795.1	66.29%
Haloferax_sulfurifontis--RS_GCF_000337835.1	66.3%
Haloferax_mediterranei--RS_GCF_000306765.2	60.27%
Haloferax_mucosum--RS_GCF_000337815.1	61.85%
