#Species	GC%
Halorhabdus_utahensis--RS_GCF_000023945.1	62.9%
Halorientalis_persicus--RS_GCF_900110215.1	63.46%
Halomicroarcula_limicola--RS_GCF_010119205.1	65.85%
Halomicrobium_katesii--RS_GCF_000379085.1	65.0%
Halomicrobium_mukohataei--RS_GCF_000023965.1	65.53%
Halomicrobium_zhouii--RS_GCF_900114435.1	66.2%
Methanofollis_liminatans--RS_GCF_000275865.1	60.96%
Methanospirillum_hungatei--RS_GCF_000013445.1	45.15%
Methanoregula_boonei--RS_GCF_000017625.1	54.51%
Methanoregula_formicica--RS_GCF_000327485.1	55.2%
Methanolinea_tarda--GB_GCA_000235685.2	56.51%
Methanosphaerula_palustris--RS_GCF_000021965.1	55.35%
Methanoculleus_marisnigri--GB_GCA_002503885.1	61.54%
Methanoculleus_chikugoensis--RS_GCF_900095385.1	61.84%
Methanoculleus_horonobensis--RS_GCF_001602375.1	62.04%
Methanoculleus_thermophilus--RS_GCF_001571405.1	59.32%
Methanoculleus_taiwanensis--RS_GCF_004102725.1	59.97%
Methanolacinia_petrolearia--RS_GCF_000147875.1	47.4%
Methanoplanus_limicola--RS_GCF_000243255.1	42.19%
Methanogenium_cariaci--RS_GCF_001315945.1	52.06%
Methanomethylovorans_hollandica--RS_GCF_000328665.1	41.87%
Methanofervidicoccus_abyssi--RS_GCF_004310395.1	35.25%
Desulfurococcus_amylolyticus--RS_GCF_000513855.1	45.16%
Desulfurococcus_mucosus--RS_GCF_000186365.1	53.14%
Thermogladius_calderae--RS_GCF_000264495.1	55.64%
Haloplanus_natans--RS_GCF_000427685.1	65.0%
Halomicroarcula_pellucida--GB_GCA_014647235.1	65.32%
Methanofollis_tationis--RS_GCF_013377755.1	61.14%
Methanoculleus_bourgensis--RS_GCF_000304355.2	60.64%
Methanolacinia_paynteri--RS_GCF_000784355.1	47.43%
Haloplanus_vescus--RS_GCF_900107665.1	65.1%
Halobaculum_gomorrense--RS_GCF_900129775.1	68.54%
Natronoarchaeum_philippinense--RS_GCF_900215575.1	65.16%
Halorussus_salinus--RS_GCF_004765815.2	65.11%
Halorussus_rarus--RS_GCF_003369835.1	68.07%
Halodesulfurarchaeum_formicicum--RS_GCF_001886955.1	63.62%
Halorhabdus_tiamatea--RS_GCF_000470655.1	62.74%
