#Species	GC%
Methanobacterium_bryantii--RS_GCF_002287175.1	33.19%
Methanothermobacter_marburgensis--RS_GCF_000145295.1	48.64%
Methanothermobacter_thermautotrophicus--RS_GCF_000008645.1	49.54%
Methanothermobacter_tenebrarum--RS_GCF_003264935.1	40.03%
Methanonatronarchaeum_thermophilum--RS_GCF_002153915.1	37.9%
Methanobrevibacter_arboriphilus--RS_GCF_000513315.1	25.52%
Methanobrevibacter_boviskoreani--RS_GCF_000320505.1	28.98%
Methanobrevibacter_wolinii--RS_GCF_000621965.1	24.17%
Methanobrevibacter_gottschalkii--RS_GCF_003814835.1	30.02%
Methanobrevibacter_thaueri--RS_GCF_003111625.1	36.87%
Methanobrevibacter_millerae--RS_GCF_900103415.1	36.42%
Methanobrevibacter_smithii--RS_GCF_002252585.1	30.29%
Methanobrevibacter_curvatus--RS_GCF_001639295.1	25.72%
Methanosphaera_cuniculi--RS_GCF_003149675.1	28.08%
Methanosphaera_stadtmanae--RS_GCF_000012545.1	27.63%
Methanobacterium_subterraneum--RS_GCF_002813695.1	39.4%
Methanobacterium_formicicum--GB_GCA_001316325.1	41.24%
Methanobacterium_congolense--RS_GCF_900095295.1	38.49%
Methanobacterium_lacus--RS_GCF_000191585.1	35.83%
Methanobacterium_paludis--RS_GCF_000214725.1	35.73%
Methanobacterium_veterum--RS_GCF_000745485.1	33.17%
