#Species	GC%
Dissulfuribacter_thermophilus--RS_GCF_001687335.1	43.28%
Dissulfurirhabdus_thermomarina--RS_GCF_012979235.1	71.09%
Geobacter_toluenoxydans--GB_GCA_001311985.1	53.59%
Geobacter_lovleyi--RS_GCF_000020385.1	54.74%
Geobacter_thiogenes--RS_GCF_900167465.1	52.82%
Pelobacter_propionicus--RS_GCF_000015045.1	58.48%
Geobacter_metallireducens--GB_GCA_011046855.1	62.98%
Geobacter_pickeringii--RS_GCF_000817955.1	62.27%
Geobacter_argillaceus--RS_GCF_007830735.1	58.2%
Geobacter_sulfurreducens--RS_GCF_000007985.2	60.94%
Geoalkalibacter_ferrihydriticus--RS_GCF_000820505.1	57.94%
Geoalkalibacter_subterraneus--RS_GCF_000827125.1	56.68%
Anaeromyxobacter_dehalogenans--RS_GCF_000013385.1	74.91%
Vulgatibacter_incomptus--RS_GCF_001263175.1	68.94%
Haliangium_ochraceum--RS_GCF_000024805.1	69.48%
Deferrisoma_camini--RS_GCF_000526155.1	70.08%
Acidihalobacter_prosperus--RS_GCF_000754095.2	64.42%
Desulfomicrobium_baculatum--RS_GCF_000023225.1	58.65%
Acidihalobacter_aeolianus--RS_GCF_001753165.1	61.83%
Desulfohalovibrio_reitneri--RS_GCF_000711295.1	65.47%
Desulfomicrobium_orale--RS_GCF_001553625.1	58.93%
Desulfatibacillum_aliphaticivorans--RS_GCF_000429905.1	54.4%
Desulfatibacillum_alkenivorans--RS_GCF_900142135.1	54.92%
Syntrophus_gentianae--RS_GCF_900109885.1	52.54%
Syntrophus_aciditrophicus--RS_GCF_000013405.1	51.46%
Desulforhopalus_singaporensis--RS_GCF_900104445.1	50.55%
Desulfurivibrio_alkaliphilus--RS_GCF_000092205.1	60.29%
Desulfacinum_infernum--RS_GCF_900129305.1	61.97%
Syntrophobacter_fumaroxidans--RS_GCF_000014965.1	59.95%
