#Species	GC%
Methanobacterium_subterraneum--RS_GCF_002813695.1	39.4%
Methanobacterium_congolense--RS_GCF_900095295.1	38.49%
Methanobacterium_lacus--RS_GCF_000191585.1	35.83%
Methanobacterium_paludis--RS_GCF_000214725.1	35.73%
Methanobacterium_veterum--RS_GCF_000745485.1	33.17%
Methanobacterium_bryantii--RS_GCF_002287175.1	33.19%
Methanothermobacter_marburgensis--RS_GCF_000145295.1	48.64%
Methanothermobacter_thermautotrophicus--RS_GCF_000008645.1	49.54%
Methanothermobacter_tenebrarum--RS_GCF_003264935.1	40.03%
Thermococcus_zilligii--RS_GCF_000258515.1	54.48%
Archaeoglobus_profundus--RS_GCF_000025285.1	42.0%
Ferroglobus_placidus--RS_GCF_000025505.1	44.14%
Archaeoglobus_veneficus--RS_GCF_000194625.1	47.05%
Geoglobus_acetivorans--RS_GCF_000789255.1	46.84%
Geoglobus_ahangari--RS_GCF_001006045.1	53.11%
Archaeoglobus_sulfaticallidus--RS_GCF_000385565.1	43.24%
Methanococcus_voltae--RS_GCF_000006175.1	28.59%
Methanococcus_aeolicus--RS_GCF_000017185.1	30.04%
Methanothermococcus_okinawensis--RS_GCF_000179575.2	29.28%
Methanothermococcus_thermolithotrophicus--RS_GCF_000376965.1	32.8%
Methanofervidicoccus_abyssi--RS_GCF_004310395.1	35.25%
Methanotorris_formicicus--RS_GCF_000243455.1	32.44%
Methanotorris_igneus--RS_GCF_000214415.1	32.3%
Methanocaldococcus_jannaschii--RS_GCF_000091665.1	31.29%
Methanocaldococcus_vulcanius--RS_GCF_000024625.1	31.58%
Desulfurococcus_amylolyticus--RS_GCF_000513855.1	45.16%
Staphylothermus_hellenicus--RS_GCF_000092465.1	36.84%
Thermogladius_calderae--RS_GCF_000264495.1	55.64%
Ignisphaera_aggregans--GB_GCA_011375585.1	33.86%
Methanosphaera_stadtmanae--RS_GCF_000012545.1	27.63%
Methanobacterium_formicicum--GB_GCA_001316325.1	41.24%
Methanococcus_vannielii--RS_GCF_000017165.1	31.33%
Desulfurococcus_mucosus--RS_GCF_000186365.1	53.14%
Methanobrevibacter_arboriphilus--RS_GCF_000513315.1	25.52%
Methanobrevibacter_smithii--RS_GCF_002252585.1	30.29%
Methanobrevibacter_ruminantium--GB_GCA_004553595.1	32.17%
Methanobrevibacter_cuticularis--RS_GCF_001639285.1	26.79%
Methanosphaera_cuniculi--RS_GCF_003149675.1	28.08%
