#Species	GC%
Anoxybacillus_caldiproteolyticus--RS_GCF_013761245.1	40.65%
Bacillus_fungorum--RS_GCF_002746455.1	34.99%
Bacillus_wiedmannii--RS_GCF_001583695.1	35.19%
Bacillus_proteolyticus--RS_GCF_001884065.1	35.15%
Bacillus_mobilis--RS_GCF_001884045.1	35.3%
Bacillus_paranthracis--RS_GCF_001883995.1	35.19%
Bacillus_cereus--RS_GCF_002567495.1	35.0%
Bacillus_albus--RS_GCF_001884185.1	34.95%
Bacillus_luti--RS_GCF_001884105.1	35.46%
Bacillus_nitratireducens--RS_GCF_001884135.1	35.31%
Bacillus_tropicus--RS_GCF_001884035.1	35.22%
Bacillus_paramycoides--RS_GCF_001884235.1	35.21%
Bacillus_pseudomycoides--RS_GCF_002551005.1	35.92%
Oceanobacillus_oncorhynchi--RS_GCF_000821065.1	39.28%
Virgibacillus_necropolis--RS_GCF_002224365.1	37.27%
Halolactibacillus_miurensis--RS_GCF_900116255.1	39.09%
Pontibacillus_halophilus--RS_GCF_000425205.1	42.66%
Cohnella_panacarvi--RS_GCF_000515335.1	54.47%
Cohnella_phaseoli--RS_GCF_003386235.1	53.6%
Vulcanibacillus_modesticaldus--RS_GCF_001730235.1	33.61%
Brevibacillus_porteri--RS_GCF_003013475.1	47.12%
Brevibacillus_fortis--RS_GCF_003013395.1	47.15%
Melghirimyces_algeriensis--RS_GCF_900182565.1	46.4%
Pelosinus_fermentans--RS_GCF_000271665.2	39.51%
Balneola_vulgaris--RS_GCF_000375465.1	39.78%
Anoxybacillus_pushchinoensis--RS_GCF_900111795.1	41.97%
Oceanobacillus_iheyensis--RS_GCF_000011245.1	35.68%
Pontibacillus_chungwhensis--RS_GCF_000770675.1	40.77%
Cohnella_thermotolerans--RS_GCF_000429825.1	58.22%
Desulfonatronum_thiodismutans--RS_GCF_000717475.1	58.74%
Desulfonatronum_lacustre--RS_GCF_000519265.1	59.32%
Desulfatirhabdium_butyrativorans--GB_GCA_011362395.1	55.24%
Desulfatibacillum_aliphaticivorans--RS_GCF_000429905.1	54.4%
Desulfatibacillum_alkenivorans--RS_GCF_900142135.1	54.92%
Syntrophus_aciditrophicus--RS_GCF_000013405.1	51.46%
Bacillus_marinisedimentorum--RS_GCF_001644195.2	46.26%
