#Species	GC%
Chelatococcus_composti--RS_GCF_014201415.1	68.13%
Aureimonas_ureilytica--RS_GCF_000382705.1	67.28%
Mangrovicella_endophytica--RS_GCF_002893625.1	66.54%
Nitratifractor_salsuginis--RS_GCF_000186245.1	53.91%
Geoalkalibacter_subterraneus--RS_GCF_000827125.1	56.68%
Lujinxingia_litoralis--RS_GCF_003260125.1	64.65%
Lujinxingia_sediminis--RS_GCF_004005565.1	63.6%
Posidoniimonas_corsicana--RS_GCF_007859765.1	66.66%
Sedimentisphaera_cyanobacteriorum--RS_GCF_001997385.1	46.2%
Sedimentisphaera_salicampi--RS_GCF_002117005.1	46.31%
Limihaloglobus_sulfuriphilus--RS_GCF_001999965.1	47.04%
Anaerohalosphaera_lusitana--RS_GCF_002007645.1	51.98%
Algisphaera_agarilytica--RS_GCF_014207595.1	63.2%
Phycisphaera_mikurensis--RS_GCF_000284115.1	73.22%
Tomitella_biformata--RS_GCF_000524475.1	68.09%
Rhodococcus_oryzae--RS_GCF_005049235.1	69.17%
Rhodococcus_tukisamuensis--RS_GCF_001894985.1	69.85%
Kutzneria_buriramensis--RS_GCF_003387475.1	70.35%
Kutzneria_kofuensis--RS_GCF_014203355.1	70.49%
Thermomonospora_amylolytica--RS_GCF_003589885.1	72.81%
Thermomonospora_catenispora--RS_GCF_006363815.1	72.92%
Thermomonospora_curvata--RS_GCF_000024385.1	71.64%
Thermomonospora_echinospora--RS_GCF_900108175.1	71.79%
Actinomadura_craniellae--RS_GCF_003289645.1	72.04%
Rhodothermus_marinus--RS_GCF_000024845.1	64.3%
Rhodothermus_profundi--RS_GCF_900142415.1	58.96%
Tepidiphilus_margaritifer--RS_GCF_000425565.1	64.8%
Phenylobacterium_immobile--RS_GCF_001375595.1	66.73%
Actinomadura_madurae--RS_GCF_900115095.1	72.1%
Thiohalobacter_thiocyanaticus--RS_GCF_002356355.1	64.25%
Chitinibacter_tainanensis--RS_GCF_000429785.1	56.04%
Tepidiphilus_succinatimandens--RS_GCF_006503695.1	65.89%
Phenylobacterium_soli--RS_GCF_003254475.1	70.07%
Phenylobacterium_kunshanense--RS_GCF_003254525.1	69.24%
Methylobacterium_oxalidis--RS_GCF_007992195.1	69.98%
Methylobacterium_segetis--RS_GCF_004348265.1	70.19%
