#Species	GC%
Rhodococcus_yunnanensis--RS_GCF_001895005.1	63.9%
Rhodococcus_erythropolis--RS_GCF_001552595.1	62.4%
Rhodococcus_qingshengii--RS_GCF_001646745.1	62.37%
Saccharothrix_texasensis--RS_GCF_003752005.1	72.27%
Saccharothrix_ecbatanensis--RS_GCF_014205015.1	70.14%
Glutamicibacter_halophytocola--RS_GCF_001302565.1	59.99%
Klenkia_marina--RS_GCF_900101025.1	74.42%
Klenkia_soli--RS_GCF_900103975.1	74.16%
Blastococcus_saxobsidens--RS_GCF_000284015.1	72.95%
Modestobacter_marinus--RS_GCF_000306785.1	74.13%
Modestobacter_caceresii--RS_GCF_000761485.1	73.58%
Deinococcus_irradiatisoli--RS_GCF_003173015.1	67.02%
Truepera_radiovictrix--RS_GCF_000092425.1	68.14%
Meiothermus_cerbereus--RS_GCF_000620065.1	61.28%
Meiothermus_ruber--GB_GCA_011327565.1	62.08%
Meiothermus_luteus--RS_GCF_003574085.1	65.12%
Meiothermus_hypogaeus--RS_GCF_003574035.1	61.0%
Meiothermus_silvanus--RS_GCF_000092125.1	62.72%
Saccharothrix_australiensis--RS_GCF_003634935.1	73.46%
Blastococcus_aggregatus--RS_GCF_900221005.1	73.32%
Tsukamurella_asaccharolytica--RS_GCF_007858435.1	70.23%
Tsukamurella_pseudospumae--RS_GCF_001575205.1	70.31%
Tsukamurella_pulmonis--RS_GCF_900103175.1	70.88%
Tsukamurella_tyrosinosolvens--RS_GCF_900104775.1	71.05%
Tsukamurella_conjunctivitidis--RS_GCF_007858475.1	70.53%
Tsukamurella_sputi--RS_GCF_007858445.1	69.92%
Tsukamurella_spumae--RS_GCF_012396015.1	70.19%
Smaragdicoccus_niigatensis--RS_GCF_000380645.1	64.34%
Gordonia_malaquae--RS_GCF_000344135.1	66.4%
Gordonia_spumicola--RS_GCF_009932475.1	68.07%
Rhodococcus_kyotonensis--RS_GCF_900188125.1	64.15%
