#Species	GC%
Desulfatibacillum_alkenivorans--RS_GCF_900142135.1	54.92%
Syntrophobacter_fumaroxidans--RS_GCF_000014965.1	59.95%
Dissulfuribacter_thermophilus--RS_GCF_001687335.1	43.28%
Dissulfurirhabdus_thermomarina--RS_GCF_012979235.1	71.09%
Desulfuromonas_acetexigens--RS_GCF_900111775.1	60.34%
Planococcus_versutus--RS_GCF_001186155.3	39.39%
Neobacillus_notoginsengisoli--RS_GCF_003515685.1	43.78%
Bacillus_marinisedimentorum--RS_GCF_001644195.2	46.26%
Bacillus_aquiflavi--RS_GCF_011008855.1	35.42%
Geobacillus_subterraneus--RS_GCF_001618685.1	52.2%
Parageobacillus_thermoglucosidasius--RS_GCF_001655645.1	43.15%
Caldibacillus_debilis--RS_GCF_000383875.1	51.58%
Bacillus_coahuilensis--RS_GCF_000171615.1	38.05%
Bacillus_acidicola--RS_GCF_001636425.1	39.39%
Gracilibacillus_massiliensis--RS_GCF_001458115.1	36.05%
Halalkalibacillus_sediminis--RS_GCF_002844535.1	38.7%
Paenibacillus_forsythiae--RS_GCF_000520735.1	52.94%
Alkalihalobacillus_clausii--RS_GCF_001598215.1	44.28%
Syntrophobotulus_glycolicus--RS_GCF_000190635.1	46.35%
Rubrobacter_xylanophilus--RS_GCF_007164525.1	68.69%
Calderihabitans_maritimus--RS_GCF_002207765.1	47.02%
Desulfuromonas_acetoxidans--RS_GCF_000167355.1	51.83%
Planococcus_citreus--RS_GCF_003664125.1	48.57%
Geobacillus_stearothermophilus--RS_GCF_001277805.1	53.05%
Gracilibacillus_halotolerans--RS_GCF_014206945.1	36.27%
Halalkalibacillus_halophilus--RS_GCF_000423105.1	37.43%
Alkalihalobacillus_alcalophilus--RS_GCF_000292245.2	37.39%
Rubrobacter_radiotolerans--RS_GCF_900175965.1	66.52%
Desulfovibrio_intestinalis--RS_GCF_014202345.1	54.85%
Desulfovibrio_legallii--RS_GCF_004309735.1	62.92%
Desulfovibrio_vulgaris--RS_GCF_000195755.1	63.28%
Desulfohalovibrio_reitneri--RS_GCF_000711295.1	65.47%
Desulfobaculum_xiamenense--RS_GCF_011927665.1	63.56%
Desulfocurvus_vexinensis--RS_GCF_000519125.1	69.68%
Desulfatibacillum_aliphaticivorans--RS_GCF_000429905.1	54.4%
