#Species	GC%
Nibricoccus_aquaticus--RS_GCF_002310495.1	62.25%
Cephaloticoccus_primus--RS_GCF_001580015.1	63.03%
Cephaloticoccus_capnophilus--RS_GCF_001580045.1	60.54%
Oleiharenicola_lentus--RS_GCF_004118375.1	65.3%
Nocardioides_silvaticus--RS_GCF_003160695.1	71.38%
Microbacterium_suaedae--RS_GCF_003254645.1	68.55%
Gryllotalpicola_protaetiae--RS_GCF_003627055.1	69.17%
Sinomonas_mesophila--RS_GCF_001999765.1	71.13%
Brachybacterium_vulturis--RS_GCF_002407185.1	70.84%
Brachybacterium_avium--RS_GCF_002216795.1	70.43%
Brachybacterium_faecium--RS_GCF_000023405.1	72.05%
Nitratiruptor_tergarcus--RS_GCF_900176045.1	36.84%
Peptoclostridium_acidaminophilum--RS_GCF_000597865.1	44.08%
Akkermansia_glycaniphila--RS_GCF_001683795.1	57.67%
Akkermansia_muciniphila--RS_GCF_000020225.1	55.76%
Terrimicrobium_sacchariphilum--RS_GCF_001613545.1	60.19%
Coraliomargarita_akajimensis--RS_GCF_000025905.1	53.6%
Coraliomargarita_sinensis--RS_GCF_003185655.1	54.69%
Puniceicoccus_vermicola--RS_GCF_014230055.1	54.67%
Ruficoccus_amylovorans--RS_GCF_014230085.1	60.3%
Pelagicoccus_albus--RS_GCF_014230145.1	52.27%
Geminisphaera_colitermitum--RS_GCF_000171235.2	60.93%
Rariglobus_hedericola--RS_GCF_007559335.1	60.63%
Opitutus_terrae--RS_GCF_000019965.1	65.34%
Ereboglobus_luteus--RS_GCF_003096195.1	59.67%
