#Species	GC%
Chryseobacterium_aureum--RS_GCF_003971235.1	37.4%
Brumimicrobium_mesophilum--RS_GCF_003025005.1	33.59%
Brumimicrobium_salinarum--RS_GCF_002844555.1	34.32%
Phaeocystidibacter_luteus--RS_GCF_008933115.1	46.47%
Phaeocystidibacter_marisrubri--RS_GCF_008933165.1	44.74%
Alkaliflexus_imshenetskii--RS_GCF_000517065.1	42.67%
Anaerophaga_thermohalophila--RS_GCF_000250735.1	41.42%
Marinilabilia_salmonicolor--RS_GCF_003003035.1	42.45%
Mucilaginibacter_paludis--RS_GCF_000166195.2	42.86%
Pedobacter_indicus--RS_GCF_003449035.1	40.76%
Anseongella_ginsenosidimutans--RS_GCF_008033235.1	49.92%
Niabella_aurantiaca--RS_GCF_000374125.1	48.62%
Niabella_ginsenosidivorans--RS_GCF_001654455.1	44.48%
Chitinophaga_ginsengisegetis--RS_GCF_900168065.1	46.64%
Taibaiella_chishuiensis--RS_GCF_003014535.1	50.07%
Lewinella_agarilytica--RS_GCF_900110645.1	52.22%
Lewinella_persica--RS_GCF_000373105.1	51.52%
Lewinella_antarctica--RS_GCF_011927835.1	54.86%
Lewinella_lacunae--RS_GCF_014349155.1	57.38%
Lewinella_litorea--RS_GCF_004803465.1	59.99%
Lewinella_marina--RS_GCF_002631205.1	62.04%
Lewinella_aquimaris--RS_GCF_014197245.1	57.71%
Lewinella_xylanilytica--RS_GCF_002934605.1	58.87%
Lewinella_cohaerens--RS_GCF_000379805.1	44.99%
Flavilitoribacter_nigricans--RS_GCF_002646595.1	51.04%
Phaeodactylibacter_luteus--RS_GCF_007993045.1	53.77%
Phaeodactylibacter_xiamenensis--RS_GCF_000759025.1	51.01%
Haliscomenobacter_hydrossis--RS_GCF_000212735.1	47.1%
Reichenbachiella_versicolor--RS_GCF_003171675.1	37.06%
Nafulsella_turpanensis--RS_GCF_000346615.1	45.67%
Marivirga_tractuosa--RS_GCF_000183425.1	35.52%
Echinicola_rosea--RS_GCF_005281475.1	44.14%
Pontibacter_mucosus--RS_GCF_003054055.1	52.59%
Pontibacter_roseus--RS_GCF_000373265.1	52.65%
Rufibacter_ruber--RS_GCF_001647275.1	51.54%
Maribacter_sedimenticola--RS_GCF_900188415.1	37.47%
Robertkochia_marina--RS_GCF_004799345.1	43.63%
Chryseobacterium_gleum--RS_GCF_900636535.1	36.86%
Brumimicrobium_glaciale--RS_GCF_004152935.1	33.8%
Reichenbachiella_agariperforans--RS_GCF_900142205.1	43.35%
Pontibacter_actiniarum--RS_GCF_003585765.1	53.16%
Rufibacter_tibetensis--RS_GCF_001310085.1	47.43%
Maribacter_cobaltidurans--RS_GCF_002269385.1	39.73%
Robertkochia_solimangrovi--RS_GCF_007279655.1	40.72%
Chryseobacterium_echinoideorum--RS_GCF_007474535.1	34.72%
