#Species	GC%
Streptomyces_calvus--RS_GCF_006782915.1	72.4%
Streptomyces_griseostramineus--RS_GCF_014203535.1	72.73%
Streptomyces_hirsutus--RS_GCF_001418415.1	71.0%
Streptomyces_prasinus--RS_GCF_001419705.1	72.06%
Protaetiibacter_intestinalis--RS_GCF_003627075.1	71.5%
Micrococcus_flavus--RS_GCF_014204815.1	73.35%
Thermoleophilum_album--RS_GCF_900108055.1	69.12%
Rubrobacter_taiwanensis--RS_GCF_004337705.1	67.18%
Moorella_thermoacetica--RS_GCF_001267405.1	55.95%
Klebsiella_pneumoniae--RS_GCF_000742135.1	56.99%
Halomonas_elongata--RS_GCF_000196875.2	63.61%
Thermodesulfatator_indicus--RS_GCF_000217795.1	42.43%
Streptomyces_albus--RS_GCF_000725885.1	72.73%
Agromyces_ramosus--RS_GCF_004216665.1	71.26%
Rothia_dentocariosa--RS_GCF_000164695.2	53.69%
Rubrobacter_radiotolerans--RS_GCF_900175965.1	66.52%
Klebsiella_indica--RS_GCF_005860775.1	53.53%
Erwinia_mallotivora--RS_GCF_000590885.1	52.43%
Tolumonas_auensis--RS_GCF_000023065.1	49.03%
Tolumonas_lignilytica--RS_GCF_000527035.1	47.5%
Halomonas_zincidurans--RS_GCF_000731955.1	64.41%
Thermodesulfatator_atlanticus--GB_GCA_011321895.1	53.76%
Sedimentisphaera_cyanobacteriorum--RS_GCF_001997385.1	46.2%
Sedimentisphaera_salicampi--RS_GCF_002117005.1	46.31%
Limihaloglobus_sulfuriphilus--RS_GCF_001999965.1	47.04%
Anaerohalosphaera_lusitana--RS_GCF_002007645.1	51.98%
Phycisphaera_mikurensis--RS_GCF_000284115.1	73.22%
Streptomyces_thermovulgaris--RS_GCF_002155915.1	71.68%
