#Species	GC%
Actinosynnema_pretiosum--RS_GCF_002354875.1	73.91%
Saccharothrix_espanaensis--RS_GCF_000328705.1	72.19%
Saccharothrix_variisporea--RS_GCF_003634995.1	71.67%
Saccharothrix_australiensis--RS_GCF_003634935.1	73.46%
Saccharothrix_syringae--RS_GCF_009498035.1	73.49%
Saccharothrix_deserti--RS_GCF_009769385.1	70.4%
Euzebya_tangerina--RS_GCF_003074135.1	68.87%
Egibacter_rhizosphaerae--RS_GCF_004322855.1	71.67%
Egicoccus_halophilus--RS_GCF_004300825.1	72.61%
Thermaerobacter_subterraneus--RS_GCF_000183545.2	72.04%
Levilinea_saccharolytica--RS_GCF_001306035.1	59.8%
Ornatilinea_apprima--RS_GCF_001306115.1	55.04%
Anaerolinea_thermophila--RS_GCF_000199675.1	53.85%
Aggregatilinea_lenta--RS_GCF_003569045.1	62.93%
Thermoanaerobacter_pseudethanolicus--RS_GCF_000019085.1	34.51%
Thermoanaerobacter_thermocopriae--RS_GCF_001310975.1	34.16%
Thermanaeromonas_toyohensis--RS_GCF_900176005.1	49.5%
Fervidicola_ferrireducens--RS_GCF_001562425.1	45.82%
Thermosediminibacter_oceani--RS_GCF_000144645.1	46.82%
Dictyoglomus_turgidum--RS_GCF_000021645.1	33.96%
Streptomyces_albus--RS_GCF_000725885.1	72.73%
Thermaerobacter_marianensis--RS_GCF_000184705.1	72.48%
Dictyoglomus_thermophilum--RS_GCF_000020965.1	33.74%
Thermoflavimicrobium_dichotomicum--RS_GCF_900114055.1	42.53%
Lentzea_jiangxiensis--RS_GCF_900104175.1	70.23%
Lentzea_guizhouensis--RS_GCF_001701025.1	70.01%
Lentzea_terrae--RS_GCF_003265345.1	68.63%
Lentzea_albidocapillata--RS_GCF_000719115.1	68.7%
Lentzea_flaviverrucosa--RS_GCF_003350445.1	69.24%
Lentzea_albida--RS_GCF_900111005.1	70.15%
Lentzea_kentuckyensis--RS_GCF_002150765.1	68.74%
Lentzea_fradiae--RS_GCF_900100955.1	70.53%
Actinosynnema_mirum--RS_GCF_000023245.1	73.71%
