#Species	GC%
Exiguobacterium_flavidum--RS_GCF_003344535.1	54.98%
Bacillus_glycinifermentans--RS_GCF_001042475.2	45.65%
Paenibacillus_ginsengihumi--RS_GCF_000380965.1	57.06%
Paenibacillus_guangzhouensis--RS_GCF_009363075.1	47.5%
Paenibacillus_larvae--RS_GCF_002003265.1	44.16%
Paenibacillus_montanisoli--RS_GCF_003268025.1	52.82%
Paenibacillus_taihuensis--RS_GCF_003386535.1	51.6%
Paenibacillus_humicus--RS_GCF_004000905.1	58.07%
Alkalihalobacillus_miscanthi--RS_GCF_007725405.1	40.04%
Alkalihalobacillus_hemicellulosilyticus--RS_GCF_000513115.1	38.18%
Chitinispirillum_alkaliphilum--GB_GCA_001045525.1	42.92%
Alkalispirochaeta_alkalica--RS_GCF_000373545.1	60.23%
Alkalispirochaeta_americana--RS_GCF_900156105.1	57.54%
Spirochaeta_africana--RS_GCF_000242595.2	57.77%
Salinispira_pacifica--RS_GCF_000507245.1	51.86%
Spirochaeta_lutea--RS_GCF_000758165.1	53.74%
Sediminispirochaeta_smaragdinae--RS_GCF_000143985.1	48.97%
Spirochaeta_thermophila--RS_GCF_000147075.1	61.88%
Treponema_azotonutricium--RS_GCF_000214355.1	49.8%
Treponema_caldarium--RS_GCF_000219725.1	45.58%
Rectinema_subterraneum--RS_GCF_009768935.1	52.14%
Alkalihalobacillus_alcalophilus--RS_GCF_000292245.2	37.39%
Sediminispirochaeta_bajacaliforniensis--RS_GCF_000378205.1	49.15%
Desulfovibrio_intestinalis--RS_GCF_014202345.1	54.85%
Aerococcus_urinaehominis--RS_GCF_001543245.1	42.75%
Exiguobacterium_sibiricum--RS_GCF_000620865.1	46.77%
Exiguobacterium_undae--RS_GCF_000620805.1	47.41%
Exiguobacterium_oxidotolerans--RS_GCF_000702625.1	46.97%
Exiguobacterium_antarcticum--RS_GCF_000685865.1	47.07%
Exiguobacterium_acetylicum--RS_GCF_000702605.1	47.03%
Exiguobacterium_indicum--RS_GCF_001939065.1	46.64%
Exiguobacterium_mexicanum--RS_GCF_005960665.1	52.07%
