#Species	GC%
Methanogenium_cariaci--RS_GCF_001315945.1	52.06%
Methanothrix_soehngenii--RS_GCF_000204415.1	50.99%
Methanonatronarchaeum_thermophilum--RS_GCF_002153915.1	37.9%
Methanobrevibacter_smithii--RS_GCF_002252585.1	30.29%
Methanosphaera_cuniculi--RS_GCF_003149675.1	28.08%
Methanosphaera_stadtmanae--RS_GCF_000012545.1	27.63%
Methanobacterium_subterraneum--RS_GCF_002813695.1	39.4%
Methanobacterium_congolense--RS_GCF_900095295.1	38.49%
Methanobacterium_paludis--RS_GCF_000214725.1	35.73%
Thermococcus_thioreducens--RS_GCF_002214545.1	53.45%
Thermococcus_piezophilus--RS_GCF_001647085.1	51.11%
Thermococcus_profundus--RS_GCF_002214585.1	53.09%
Thermococcus_celericrescens--RS_GCF_001484195.1	54.29%
Thermococcus_siculi--RS_GCF_002214505.1	54.99%
Thermococcus_cleftensis--RS_GCF_000265525.1	55.82%
Thermococcus_kodakarensis--RS_GCF_000009965.1	52.0%
Thermococcus_gammatolerans--RS_GCF_000022365.1	53.56%
Thermococcus_eurythermalis--RS_GCF_000769655.1	53.45%
Thermococcus_guaymasensis--RS_GCF_000816105.1	52.86%
Thermococcus_zilligii--RS_GCF_000258515.1	54.48%
Thermococcus_pacificus--RS_GCF_002214485.1	54.24%
Thermococcus_barophilus--RS_GCF_000151105.2	41.67%
Thermococcus_paralvinellae--RS_GCF_000517445.1	40.3%
Pyrococcus_furiosus--RS_GCF_000007305.1	40.77%
Pyrococcus_kukulkanii--RS_GCF_001577775.1	44.62%
Thermococcus_litoralis--RS_GCF_000246985.2	43.09%
Thermococcus_sibiricus--RS_GCF_000022545.1	40.2%
Palaeococcus_ferrophilus--RS_GCF_000966265.1	54.31%
Palaeococcus_pacificus--RS_GCF_000725425.1	43.04%
Methanococcus_vannielii--RS_GCF_000017165.1	31.33%
Methanococcus_aeolicus--RS_GCF_000017185.1	30.04%
Methanothermococcus_okinawensis--RS_GCF_000179575.2	29.28%
Methanothermococcus_thermolithotrophicus--RS_GCF_000376965.1	32.8%
Methanofervidicoccus_abyssi--RS_GCF_004310395.1	35.25%
Methanofollis_tationis--RS_GCF_013377755.1	61.14%
Methanoculleus_bourgensis--RS_GCF_000304355.2	60.64%
Methanobacterium_formicicum--GB_GCA_001316325.1	41.24%
Methanofollis_liminatans--RS_GCF_000275865.1	60.96%
Methanoregula_boonei--RS_GCF_000017625.1	54.51%
Methanosphaerula_palustris--RS_GCF_000021965.1	55.35%
Methanoculleus_marisnigri--GB_GCA_002503885.1	61.54%
