#Species	GC%
Aeromicrobium_camelliae--RS_GCF_003850045.1	69.35%
Microlunatus_speluncae--RS_GCF_009299835.1	69.42%
Streptomyces_thermovulgaris--RS_GCF_002155915.1	71.68%
Brevibacterium_senegalense--RS_GCF_000285835.1	69.4%
Brevibacterium_jeotgali--RS_GCF_900169175.1	68.33%
Brevibacterium_album--RS_GCF_000426445.1	70.9%
Glutamicibacter_creatinolyticus--RS_GCF_006094275.1	65.56%
Galactobacter_valiniphilus--RS_GCF_003575975.1	70.56%
Pedococcus_dokdonensis--RS_GCF_900104525.1	71.22%
Sanguibacter_inulinus--RS_GCF_013415325.1	70.82%
Jonesia_quinghaiensis--RS_GCF_000423205.1	57.05%
Beutenbergia_cavernae--RS_GCF_000023105.1	73.12%
Isoptericola_jiangsuensis--RS_GCF_002563715.1	73.83%
Georgenia_soli--RS_GCF_002563695.1	72.67%
Acidimicrobium_ferrooxidans--RS_GCF_000023265.1	68.29%
Egibacter_rhizosphaerae--RS_GCF_004322855.1	71.67%
Saccharothrix_australiensis--RS_GCF_003634935.1	73.46%
Micromonospora_chalcea--RS_GCF_002926165.1	72.78%
Marmoricola_aurantiacus--RS_GCF_003752505.1	72.71%
Microlunatus_phosphovorus--RS_GCF_000270245.1	67.27%
Streptomyces_albus--RS_GCF_000725885.1	72.73%
Galactobacter_caseinivorans--RS_GCF_003640665.1	67.43%
Jonesia_denitrificans--RS_GCF_000024065.1	58.42%
Georgenia_muralis--RS_GCF_003814705.1	73.16%
Saccharothrix_syringae--RS_GCF_009498035.1	73.49%
Micromonospora_nigra--RS_GCF_900091585.1	72.6%
Micromonospora_parathelypteridis--RS_GCF_014201145.1	71.04%
Micromonospora_zamorensis--RS_GCF_900090275.1	71.2%
Micromonospora_chokoriensis--RS_GCF_900091505.1	71.46%
Micromonospora_violae--RS_GCF_004217135.1	71.11%
Micromonospora_lupini--RS_GCF_000297395.2	71.92%
Micromonospora_orduensis--RS_GCF_006228125.1	71.7%
Nocardioides_guangzhouensis--RS_GCF_004519545.1	71.92%
