#Species	GC%
Pedobacter_nanyangensis--RS_GCF_003313505.1	41.11%
Sphingobacterium_olei--RS_GCF_005048855.1	40.59%
Pedobacter_indicus--RS_GCF_003449035.1	40.76%
Pedobacter_psychrophilus--RS_GCF_001652725.1	32.54%
Anseongella_ginsenosidimutans--RS_GCF_008033235.1	49.92%
Lewinella_agarilytica--RS_GCF_900110645.1	52.22%
Lewinella_persica--RS_GCF_000373105.1	51.52%
Lewinella_antarctica--RS_GCF_011927835.1	54.86%
Lewinella_lacunae--RS_GCF_014349155.1	57.38%
Lewinella_litorea--RS_GCF_004803465.1	59.99%
Lewinella_marina--RS_GCF_002631205.1	62.04%
Lewinella_aquimaris--RS_GCF_014197245.1	57.71%
Lewinella_xylanilytica--RS_GCF_002934605.1	58.87%
Lewinella_cohaerens--RS_GCF_000379805.1	44.99%
Flavilitoribacter_nigricans--RS_GCF_002646595.1	51.04%
Phaeodactylibacter_luteus--RS_GCF_007993045.1	53.77%
Phaeodactylibacter_xiamenensis--RS_GCF_000759025.1	51.01%
Haliscomenobacter_hydrossis--RS_GCF_000212735.1	47.1%
Cesiribacter_andamanensis--RS_GCF_000348925.1	54.6%
Reichenbachiella_versicolor--RS_GCF_003171675.1	37.06%
Marivirga_tractuosa--RS_GCF_000183425.1	35.52%
Marinoscillum_furvescens--RS_GCF_003386095.1	45.42%
Echinicola_rosea--RS_GCF_005281475.1	44.14%
Pontibacter_roseus--RS_GCF_000373265.1	52.65%
Pontibacter_akesuensis--RS_GCF_001611675.1	51.02%
Pontibacter_virosus--RS_GCF_003096355.1	50.09%
Rufibacter_ruber--RS_GCF_001647275.1	51.54%
Rufibacter_roseus--RS_GCF_001647285.1	46.25%
Maribacter_sedimenticola--RS_GCF_900188415.1	37.47%
Nonlabens_tegetincola--RS_GCF_002954355.1	35.7%
Mucilaginibacter_paludis--RS_GCF_000166195.2	42.86%
Reichenbachiella_agariperforans--RS_GCF_900142205.1	43.35%
Pontibacter_actiniarum--RS_GCF_003585765.1	53.16%
Rufibacter_tibetensis--RS_GCF_001310085.1	47.43%
Maribacter_cobaltidurans--RS_GCF_002269385.1	39.73%
Muricauda_alvinocaridis--RS_GCF_004916895.1	42.32%
Muricauda_ruestringensis--RS_GCF_000224085.1	41.36%
Nonlabens_spongiae--RS_GCF_002117125.1	40.38%
Anaerophaga_thermohalophila--RS_GCF_000250735.1	41.42%
Mucilaginibacter_pedocola--RS_GCF_002013915.1	46.14%
