#Species	GC%
Sandarakinorhabdus_cyanobacteriorum--RS_GCF_002251755.1	66.16%
Sandarakinorhabdus_limnophila--RS_GCF_000420765.1	64.49%
Sphingomonas_lutea--RS_GCF_014396785.1	65.33%
Sphingosinicella_microcystinivorans--RS_GCF_003634215.1	63.97%
Sphingosinicella_soli--RS_GCF_014199685.1	64.78%
Sphingobium_indicum--RS_GCF_000382885.1	62.67%
Sphingobium_fuliginis--RS_GCF_004152845.1	64.89%
Parasphingopyxis_lamellibrachiae--RS_GCF_003385775.1	60.43%
Sphingomicrobium_lutaoense--RS_GCF_014195685.1	63.86%
Novosphingobium_malaysiense--RS_GCF_000802225.1	63.36%
Parapontixanthobacter_aurantiacus--RS_GCF_009827635.1	61.25%
Altererythrobacter_salegens--RS_GCF_009827435.1	64.59%
Cohaesibacter_intestini--RS_GCF_003324485.1	55.58%
Microvirga_subterranea--RS_GCF_003350535.1	65.13%
Microvirga_flavescens--RS_GCF_003290125.1	62.17%
Chthonobacter_albigriseus--RS_GCF_013839445.1	67.45%
Rhabdaerophilum_calidifontis--RS_GCF_008641065.1	68.26%
Ahrensia_kielensis--RS_GCF_000374465.1	48.03%
Salaquimonas_pukyongi--RS_GCF_001953055.1	58.59%
Oceanibacterium_hippocampi--RS_GCF_900172325.1	66.66%
Azospirillum_griseum--RS_GCF_003966125.1	66.57%
Niveispirillum_cyanobacteriorum--RS_GCF_002868735.1	63.39%
Niveispirillum_lacus--RS_GCF_002251795.1	62.17%
Oleisolibacter_albus--RS_GCF_003336875.1	68.21%
Magnetospirillum_caucaseum--RS_GCF_000342045.1	65.98%
Magnetospirillum_magnetotacticum--RS_GCF_000829825.1	63.56%
Magnetospirillum_kuznetsovii--RS_GCF_003284725.1	63.44%
Magnetospirillum_gryphiswaldense--RS_GCF_000513295.1	63.28%
Magnetospirillum_moscoviense--RS_GCF_001650635.1	65.18%
Magnetospirillum_molischianum--RS_GCF_000294655.1	61.51%
Telmatospirillum_siberiense--RS_GCF_002845745.1	62.33%
Pararhodospirillum_photometricum--RS_GCF_000284415.1	64.74%
Rhodospirillum_rubrum--RS_GCF_000013085.1	65.38%
Caenispirillum_bisanense--RS_GCF_900230255.1	70.16%
Roseospirillum_parvum--RS_GCF_900100455.1	69.9%
Sphingomonas_paucimobilis--RS_GCF_000739895.2	65.7%
Sphingobium_yanoikuyae--RS_GCF_000315525.1	64.01%
Cohaesibacter_gelatinilyticus--RS_GCF_900215605.1	50.47%
Camelimonas_lactis--RS_GCF_004342915.1	66.3%
Pararhodospirillum_oryzae--RS_GCF_007992075.1	66.98%
Parvularcula_bermudensis--RS_GCF_000152825.2	60.66%
Rhizorhabdus_dicambivorans--RS_GCF_002355275.1	65.35%
Sphingomonas_montanisoli--RS_GCF_008274695.1	64.83%
