#Matching species	Similarity (%)
Magnetospira thiophila--Thalassospiraceae--EU861390 (Valid)	88.43813387423936
Roseospirillum parvum--Rhodospirillaceae--FNCV01000025 (Valid)	88.37209302325581
Oceanibacterium hippocampi--Sneathiellaceae--FN687912 (Valid)	87.91423001949317
Aquaspirillum polymorphum--Chromobacteriaceae--FJ562215 (Valid)	87.91423001949317
Niveispirillum fermenti--Azospirillaceae--JX843283 (Valid)	87.75100401606426
Caenispirillum bisanense--Rhodospirillaceae--EF100694 (Valid)	87.62677484787018
Magnetospirillum caucaseum--Rhodospirillaceae--JX502622 (Valid)	87.55102040816325
Magnetospirillum gryphiswaldense--Rhodospirillaceae--AM085146 (Valid)	87.32943469785575
Defluviicoccus vanus--Geminicoccaceae--AF179678--NOT VALID	87.3046875
Magnetospirillum kuznetsovii--Rhodospirillaceae--MH571849 (Valid)	87.20930232558139
Pararhodospirillum photometricum--Rhodospirillaceae--HE663493 (Valid)	87.18446601941747
Sphingomonas ginkgonis--Sphingomonadaceae--MG843843--NOT VALID	87.02594810379242
Sphingosinicella soli--Sphingosinicellaceae--DQ087403 (Valid)	87.0182555780933
Sandarakinorhabdus cyanobacteriorum--Sphingosinicellaceae--MG519281 (Valid)	87.01550387596899
Sphingosinicella microcystinivorans--Sphingosinicellaceae--AB084247 (Valid)	86.93957115009746
Magnetospirillum molischianum--Rhodospirillaceae--FR733695--NOT VALID	86.83693516699411
Magnetospirillum magnetotacticum--Rhodospirillaceae--Y10110 (Valid)	86.81541582150102
Magnetospirillum moscoviense--Rhodospirillaceae--KF712468 (Valid)	86.61257606490872
Parasphingopyxis lamellibrachiae--Sphingomonadaceae--AB524074 (Valid)	86.58777120315581
Rhizorhabdus dicambivorans--Sphingomonadaceae--KP064570 (Valid)	86.5234375
Microvirga flavescens--Methylobacteriaceae--MH542628 (Valid)	86.49706457925636
Salaquimonas pukyongi--Phyllobacteriaceae--MG889584--NOT VALID	86.49706457925636
Rhizorhabdus argentea--Sphingomonadaceae--KF437572 (Valid)	86.35477582846003
Sandarakinorhabdus limnophila--Sphingosinicellaceae--ATVO01000004 (Valid)	86.35477582846003
Altererythrobacter marinus--Erythrobacteraceae--EU726272 (Valid)	86.35477582846003
Rhodospirillum rubrum--Rhodospirillaceae--CP000230 (Valid)	86.35477582846003
Sphingomonas montanisoli--Sphingomonadaceae--MN367972--NOT VALID	86.328125
Chthonobacter albigriseus--Pleomorphomonadaceae--KP289282 (Valid)	86.31790744466801
Azospirillum griseum--Azospirillaceae--MH997485--NOT VALID	86.3013698630137
Niveispirillum cyanobacteriorum--Azospirillaceae--KJ862840 (Valid)	86.3013698630137
Oleisolibacter albus--Rhodospirillaceae--MH244128--NOT VALID	86.18677042801556
Parapontixanthobacter aurantiacus--Erythrobacteraceae--KF924607--NOT VALID	86.15984405458089
Altererythrobacter buctensis--Erythrobacteraceae--KJ599648 (Valid)	86.15984405458089
Parvularcula marina--"Parvularculaceae"--MH630258--NOT VALID	86.1328125
Altererythrobacter salegens--Erythrobacteraceae--KT886062 (Valid)	85.96491228070175
Telmatospirillum siberiense--Rhodospirillaceae--AF524863 (Valid)	85.96491228070175
Niveispirillum lacus--Azospirillaceae--MF776580 (Valid)	85.90998043052838
Sphingobium fuliginis--Sphingomonadaceae--DQ092757 (Valid)	85.85271317829456
Oleiliquidispirillum nitrogeniifigens--Rhodospirillaceae--MK373037--NOT VALID	85.8252427184466
Parvularcula bermudensis--"Parvularculaceae"--CP002156 (Valid)	85.7699805068226
Erythrobacter zhengii--Erythrobacteraceae--MG183678 (Valid)	85.7699805068226
Sphingomonas lutea--Sphingomonadaceae--JF922305 (Valid)	85.7421875
Sphingomicrobium lutaoense--Sphingomonadaceae--EU564841 (Valid)	85.71428571428571
Microvirga subterranea--Methylobacteriaceae--FR733708 (Valid)	85.68627450980392
Novosphingobium malaysiense--Erythrobacteraceae--KC907395 (Valid)	85.57504873294347
Sphingobium indicum--Sphingomonadaceae--CP013071 (Valid)	85.46511627906976
Cohaesibacter intestini--Cohaesibacteraceae--MH396689--NOT VALID	85.38011695906432
Ahrensia kielensis--Ahrensiaceae--ARFW01000012 (Valid)	85.38011695906432
Camelimonas fluminis--Chelatococcaceae--KM979560 (Valid)	85.18518518518519
Rhabdaerophilum calidifontis--Rhabdaerophilaceae--MN561030--NOT VALID	85.01945525291829
