#Species	GC%
Asticcacaulis_biprosthecium--RS_GCF_000204015.1	59.82%
Asticcacaulis_benevestitus--RS_GCF_000376105.1	58.41%
Phenylobacterium_kunshanense--RS_GCF_003254525.1	69.24%
Caulobacter_henricii--RS_GCF_000745545.1	68.94%
Caulobacter_rhizosphaerae--RS_GCF_010977555.1	68.61%
Caulobacter_flavus--RS_GCF_003722335.1	69.25%
Caulobacter_segnis--RS_GCF_000092285.1	67.67%
Caulobacter_vibrioides--GB_GCA_002280275.1	66.94%
Brevundimonas_abyssalis--RS_GCF_000466985.1	68.16%
Parvularcula_flava--RS_GCF_009712425.2	59.86%
Marinicauda_pacifica--RS_GCF_004793635.1	64.79%
Hyphobacterium_indicum--RS_GCF_003129605.1	60.88%
Parvibaculum_lavamentivorans--RS_GCF_000017565.1	62.33%
Pseudochrobactrum_asaccharolyticum--RS_GCF_003314995.1	50.81%
Salaquimonas_pukyongi--RS_GCF_001953055.1	58.59%
Magnetospirillum_kuznetsovii--RS_GCF_003284725.1	63.44%
Magnetospirillum_gryphiswaldense--RS_GCF_000513295.1	63.28%
Magnetospirillum_moscoviense--RS_GCF_001650635.1	65.18%
Magnetospirillum_molischianum--RS_GCF_000294655.1	61.51%
Tistrella_mobilis--RS_GCF_000264455.2	68.08%
Fodinicurvata_sediminis--RS_GCF_000420625.1	60.63%
Ferruginivarius_sediminum--RS_GCF_003344765.1	65.57%
Pararhodospirillum_oryzae--RS_GCF_007992075.1	66.98%
Pararhodospirillum_photometricum--RS_GCF_000284415.1	64.74%
Rhodospirillum_rubrum--RS_GCF_000013085.1	65.38%
Streptomyces_albus--RS_GCF_000725885.1	72.73%
Asticcacaulis_excentricus--RS_GCF_000175215.2	59.51%
Phenylobacterium_immobile--RS_GCF_001375595.1	66.73%
Parvularcula_bermudensis--RS_GCF_000152825.2	60.66%
Devosia_riboflavina--RS_GCF_000743575.1	61.83%
Brevundimonas_mediterranea--RS_GCF_011064825.1	67.41%
Brevundimonas_intermedia--RS_GCF_004614235.1	66.51%
Brevundimonas_vesicularis--RS_GCF_014204545.1	66.08%
Brevundimonas_aurantiaca--RS_GCF_014199955.1	67.48%
Brevundimonas_aveniformis--RS_GCF_000428765.1	65.09%
Brevundimonas_diminuta--RS_GCF_000204035.1	64.51%
Brevundimonas_naejangsanensis--RS_GCF_000421705.1	66.6%
