#Species	GC%
Thioalkalivibrio_thiocyanoxidans--RS_GCF_000385215.1	66.18%
Thioalkalivibrio_paradoxus--GB_GCA_011390565.1	65.0%
Thioalkalivibrio_denitrificans--RS_GCF_002000365.1	64.53%
Thioalkalivibrio_thiocyanodenitrificans--RS_GCF_000378965.1	64.83%
Thioalkalivibrio_sulfidiphilus--RS_GCF_000377945.1	65.15%
Ectothiorhodospira_magna--RS_GCF_900110965.1	60.93%
Ectothiorhodosinus_mongolicus--RS_GCF_900156225.1	55.62%
Thiorhodospira_sibirica--RS_GCF_000227725.1	56.7%
Acidihalobacter_prosperus--RS_GCF_000754095.2	64.42%
Acidihalobacter_aeolianus--RS_GCF_001753165.1	61.83%
Acidihalobacter_ferrooxydans--RS_GCF_001975725.1	61.52%
Aquisalimonas_asiatica--RS_GCF_900110585.1	66.01%
Alkalilimnicola_ehrlichii--RS_GCF_003399765.1	58.58%
Thioalbus_denitrificans--RS_GCF_003337735.1	68.43%
Thiocapsa_roseopersicina--RS_GCF_900106925.1	64.32%
Spongiibacter_tropicus--RS_GCF_000420325.1	57.28%
Thiobaca_trueperi--RS_GCF_004342175.1	62.13%
Thiorhodococcus_minor--RS_GCF_010820565.1	64.81%
Marichromatium_purpuratum--RS_GCF_000224005.2	67.86%
Marichromatium_gracile--RS_GCF_004343155.1	68.43%
Marichromatium_bheemlicum--RS_GCF_012276755.1	67.2%
Imhoffiella_purpurea--RS_GCF_000585215.1	64.78%
Thiocapsa_marina--RS_GCF_000223985.1	64.11%
Lamprocystis_purpurea--RS_GCF_000379525.1	64.29%
Thiohalocapsa_marina--RS_GCF_008632335.1	65.94%
Thioflavicoccus_mobilis--RS_GCF_000327045.1	65.59%
Inmirania_thermothiophila--RS_GCF_003751635.1	74.26%
Thioalkalivibrio_versutus--RS_GCF_001999325.1	66.35%
