#Species	GC%
Stenotrophomonas_ginsengisoli--RS_GCF_001431485.1	65.89%
Stenotrophomonas_koreensis--RS_GCF_001431525.1	66.11%
Stenotrophomonas_maltophilia--RS_GCF_002799165.1	66.11%
Stenotrophomonas_rhizophila--RS_GCF_003751305.1	66.56%
Pseudoxanthomonas_taiwanensis--RS_GCF_010093135.1	72.08%
Pseudoxanthomonas_mexicana--RS_GCF_001556105.1	66.55%
Lysobacter_spongiicola--RS_GCF_900167055.1	67.56%
Rhodanobacter_fulvus--RS_GCF_000264315.1	65.59%
Dyella_jiangningensis--RS_GCF_003264855.1	65.26%
Dyella_solisilvae--RS_GCF_003351225.1	65.32%
Frateuria_defendens--RS_GCF_001182895.1	69.77%
Ahniella_affigens--RS_GCF_003015185.1	60.45%
Acidithiobacillus_caldus--RS_GCF_000175575.2	61.41%
Mesorhizobium_alhagi--RS_GCF_000236565.1	62.65%
Magnetococcus_marinus--RS_GCF_000014865.1	54.17%
Desulfobacca_acetoxidans--GB_GCA_011333555.1	58.78%
Desulfobulbus_propionicus--GB_GCA_002746685.1	47.78%
Geobacter_uraniireducens--RS_GCF_000016745.1	54.24%
Geobacter_lovleyi--RS_GCF_000020385.1	54.74%
Pelobacter_propionicus--RS_GCF_000015045.1	58.48%
Geobacter_metallireducens--GB_GCA_011046855.1	62.98%
Desulfuromonas_acetoxidans--RS_GCF_000167355.1	51.83%
Malonomonas_rubra--RS_GCF_900142125.1	52.46%
Apibacter_adventoris--RS_GCF_002964975.1	29.14%
Apibacter_mensalis--RS_GCF_001418685.1	30.41%
Rhodothermus_marinus--RS_GCF_000024845.1	64.3%
Melioribacter_roseus--RS_GCF_000279145.1	41.33%
Caldithrix_abyssi--RS_GCF_001886815.1	45.1%
Leptospira_ognonensis--RS_GCF_004770745.1	39.66%
Pseudoxanthomonas_broegbernensis--RS_GCF_014202435.1	70.75%
Frateuria_aurantia--RS_GCF_000242255.2	63.4%
Pseudomonas_xinjiangensis--GB_GCA_011050525.1	57.42%
Pseudomonas_salegens--RS_GCF_900105655.1	57.69%
Xanthomonas_perforans--RS_GCF_013112235.1	64.91%
Xanthomonas_citri--GB_GCA_002240395.1	68.93%
Xanthomonas_campestris--RS_GCF_012848175.1	65.68%
Stenotrophomonas_acidaminiphila--RS_GCF_001431595.1	68.81%
Stenotrophomonas_daejeonensis--RS_GCF_001431505.1	68.56%
