#Species	GC%
Geobacter_pickeringii--RS_GCF_000817955.1	62.27%
Geoalkalibacter_ferrihydriticus--RS_GCF_000820505.1	57.94%
Geoalkalibacter_subterraneus--RS_GCF_000827125.1	56.68%
Desulfuromonas_acetoxidans--RS_GCF_000167355.1	51.83%
Desulfuromonas_thiophila--RS_GCF_900101955.1	60.71%
Pelobacter_seleniigenes--RS_GCF_000711225.1	54.19%
Malonomonas_rubra--RS_GCF_900142125.1	52.46%
Geothermobacter_ehrlichii--RS_GCF_008124615.1	61.86%
Bacillus_marinisedimentorum--RS_GCF_001644195.2	46.26%
Geobacillus_thermodenitrificans--RS_GCF_000496575.1	49.05%
Melghiribacillus_thermohalophilus--RS_GCF_004342905.1	42.07%
Marininema_mesophilum--RS_GCF_900106775.1	44.8%
Thermoanaerobaculum_aquaticum--RS_GCF_000687145.1	63.01%
Anoxybacter_fermentans--RS_GCF_003991135.1	35.88%
Micromonospora_coriariae--RS_GCF_900091455.1	71.76%
Micromonospora_chersina--RS_GCF_900091475.1	73.57%
Micromonospora_narathiwatensis--RS_GCF_900089605.1	72.59%
Allostreptomyces_psammosilenae--RS_GCF_013407765.1	74.3%
Cellulomonas_rhizosphaerae--RS_GCF_003470205.1	72.65%
Blastococcus_saxobsidens--RS_GCF_000284015.1	72.95%
Frankia_irregularis--RS_GCF_001536285.1	70.89%
Egibacter_rhizosphaerae--RS_GCF_004322855.1	71.67%
Moorella_humiferrea--RS_GCF_002995755.1	53.52%
Thermaerobacter_marianensis--RS_GCF_000184705.1	72.48%
Caldithrix_abyssi--RS_GCF_001886815.1	45.1%
Geobacillus_stearothermophilus--RS_GCF_001277805.1	53.05%
Micromonospora_chalcea--RS_GCF_002926165.1	72.78%
Cellulomonas_flavigena--RS_GCF_000092865.1	74.29%
Blastococcus_aggregatus--RS_GCF_900221005.1	73.32%
Frankia_alni--RS_GCF_000058485.1	72.83%
Desulfovibrio_indonesiensis--RS_GCF_007625075.1	60.54%
Desulfovibrio_marinus--RS_GCF_013085545.1	62.45%
Desulfonauticus_submarinus--RS_GCF_900104045.1	32.47%
Desulfobacca_acetoxidans--GB_GCA_011333555.1	58.78%
Syntrophobacter_fumaroxidans--RS_GCF_000014965.1	59.95%
Dissulfurirhabdus_thermomarina--RS_GCF_012979235.1	71.09%
Geobacter_metallireducens--GB_GCA_011046855.1	62.98%
