#Species	GC%
Marichromatium_purpuratum--RS_GCF_000224005.2	67.86%
Thiocapsa_marina--RS_GCF_000223985.1	64.11%
Lamprocystis_purpurea--RS_GCF_000379525.1	64.29%
Thiohalocapsa_marina--RS_GCF_008632335.1	65.94%
Thermochromatium_tepidum--RS_GCF_009664085.1	63.41%
Acidovorax_caeni--RS_GCF_001298675.1	65.5%
Acidovorax_wautersii--RS_GCF_900113035.1	68.38%
Simplicispira_suum--RS_GCF_003008595.1	63.29%
Simplicispira_lacusdiani--RS_GCF_003604195.1	67.41%
Acidovorax_carolinensis--RS_GCF_002157145.1	64.24%
Malikia_granosa--RS_GCF_002980595.1	66.75%
Ottowia_oryzae--RS_GCF_003008535.1	66.8%
Leptothrix_mobilis--RS_GCF_004216565.1	69.0%
Herbaspirillum_huttiense--RS_GCF_004367745.1	62.3%
Herbaspirillum_frisingense--RS_GCF_000300975.2	63.02%
Noviherbaspirillum_massiliense--RS_GCF_000312045.1	59.73%
Paraburkholderia_bannensis--RS_GCF_000685015.1	63.96%
Paraburkholderia_sacchari--RS_GCF_000785435.2	64.01%
Paraburkholderia_dinghuensis--RS_GCF_003837865.1	62.98%
Paraburkholderia_kururiensis--RS_GCF_003986935.1	64.82%
Trinickia_fusca--RS_GCF_003628145.1	63.46%
Burkholderia_vietnamiensis--RS_GCF_000959445.1	66.83%
Burkholderia_glumae--RS_GCF_000960995.1	68.18%
Pandoraea_fibrosis--RS_GCF_000807775.2	62.82%
Lautropia_mirabilis--RS_GCF_900637555.1	65.48%
Cupriavidus_necator--RS_GCF_000744095.1	65.04%
Chitiniphilus_eburneus--RS_GCF_005048205.1	63.96%
Chitiniphilus_shinanonensis--RS_GCF_000374805.1	66.39%
Chitinimonas_taiwanensis--RS_GCF_900119825.1	62.86%
Thauera_hydrothermalis--RS_GCF_003345255.1	63.58%
Thiorhodospira_sibirica--RS_GCF_000227725.1	56.7%
Acidithiobacillus_thiooxidans--RS_GCF_009662475.1	53.04%
Desulfovibrio_desulfuricans--RS_GCF_000022125.1	58.07%
Desulfovibrio_magneticus--RS_GCF_000526455.1	64.72%
Lentisphaera_araneosa--RS_GCF_000170755.1	40.95%
Algisphaera_agarilytica--RS_GCF_014207595.1	63.2%
Phycisphaera_mikurensis--RS_GCF_000284115.1	73.22%
Marichromatium_gracile--RS_GCF_004343155.1	68.43%
Thiocapsa_roseopersicina--RS_GCF_900106925.1	64.32%
Simplicispira_metamorpha--RS_GCF_004341365.1	63.6%
Ottowia_thiooxydans--RS_GCF_000422885.1	58.55%
Herminiimonas_fonticola--RS_GCF_003293745.1	51.59%
Herbaspirillum_seropedicae--RS_GCF_001040945.1	63.4%
Paraburkholderia_graminis--RS_GCF_000172415.1	62.87%
Trinickia_symbiotica--RS_GCF_002934455.1	63.0%
Pandoraea_apista--RS_GCF_001465595.2	62.63%
Chromobacterium_violaceum--RS_GCF_000007705.1	64.83%
Allochromatium_vinosum--RS_GCF_000025485.1	64.19%
