#Species	GC%
Methanobacterium_bryantii--RS_GCF_002287175.1	33.19%
Methanothermobacter_tenebrarum--RS_GCF_003264935.1	40.03%
Thermococcus_celer--RS_GCF_002214365.1	56.45%
Thermococcus_barossii--RS_GCF_002214465.1	54.69%
Thermococcus_thioreducens--RS_GCF_002214545.1	53.45%
Thermococcus_piezophilus--RS_GCF_001647085.1	51.11%
Thermococcus_profundus--RS_GCF_002214585.1	53.09%
Thermococcus_celericrescens--RS_GCF_001484195.1	54.29%
Thermococcus_siculi--RS_GCF_002214505.1	54.99%
Thermococcus_cleftensis--RS_GCF_000265525.1	55.82%
Thermococcus_peptonophilus--RS_GCF_001592435.1	51.74%
Thermococcus_gammatolerans--RS_GCF_000022365.1	53.56%
Thermococcus_eurythermalis--RS_GCF_000769655.1	53.45%
Thermococcus_nautili--RS_GCF_000585495.1	54.84%
Thermococcus_guaymasensis--RS_GCF_000816105.1	52.86%
Thermococcus_barophilus--RS_GCF_000151105.2	41.67%
Thermococcus_paralvinellae--RS_GCF_000517445.1	40.3%
Pyrococcus_furiosus--RS_GCF_000007305.1	40.77%
Pyrococcus_horikoshii--RS_GCF_000011105.1	41.88%
Thermococcus_chitonophagus--RS_GCF_002214605.1	44.92%
Pyrococcus_kukulkanii--RS_GCF_001577775.1	44.62%
Pyrococcus_yayanosii--RS_GCF_000215995.1	51.64%
Geoglobus_ahangari--RS_GCF_001006045.1	53.11%
Archaeoglobus_sulfaticallidus--RS_GCF_000385565.1	43.24%
Methanofervidicoccus_abyssi--RS_GCF_004310395.1	35.25%
Desulfurococcus_mucosus--RS_GCF_000186365.1	53.14%
Staphylothermus_hellenicus--RS_GCF_000092465.1	36.84%
Methanoculleus_bourgensis--RS_GCF_000304355.2	60.64%
Methanothermobacter_thermautotrophicus--RS_GCF_000008645.1	49.54%
Methanoregula_boonei--RS_GCF_000017625.1	54.51%
Methanoregula_formicica--RS_GCF_000327485.1	55.2%
Methanoculleus_taiwanensis--RS_GCF_004102725.1	59.97%
Methanomicrobium_mobile--RS_GCF_000711215.1	49.46%
Methanobacterium_subterraneum--RS_GCF_002813695.1	39.4%
Methanobacterium_formicicum--GB_GCA_001316325.1	41.24%
Methanobacterium_veterum--RS_GCF_000745485.1	33.17%
