#Species	GC%
Consotaella_salsifontis--RS_GCF_900167365.1	64.3%
Pararhizobium_haloflavum--RS_GCF_002750855.1	62.38%
Agrobacterium_rosae--RS_GCF_002915175.1	56.53%
Agrobacterium_arsenijevicii--GB_GCA_000949895.1	58.7%
Rhizobium_selenitireducens--RS_GCF_000518785.1	63.49%
Pararhizobium_antarcticum--RS_GCF_001885585.1	60.67%
Bartonella_kosoyi--RS_GCF_003606325.2	38.4%
Bartonella_tribocorum--RS_GCF_000196435.1	38.82%
Bartonella_krasnovii--RS_GCF_003606345.3	38.1%
Bartonella_doshiae--RS_GCF_000278155.1	37.66%
Bartonella_henselae--RS_GCF_000046705.1	38.23%
Bartonella_bovis--RS_GCF_000384965.1	37.32%
Bartonella_ancashensis--RS_GCF_001281405.1	38.42%
Bartonella_bacilliformis--RS_GCF_000709795.1	37.46%
Bartonella_apis--RS_GCF_001952075.1	45.45%
Phyllobacterium_trifolii--RS_GCF_014192095.1	56.4%
Phyllobacterium_endophyticum--RS_GCF_003010935.1	57.0%
Hoeflea_phototrophica--RS_GCF_000154705.2	59.8%
Salaquimonas_pukyongi--RS_GCF_001953055.1	58.59%
Magnetovibrio_blakemorei--RS_GCF_001746755.1	54.29%
Magnetospirillum_molischianum--RS_GCF_000294655.1	61.51%
Ferruginivarius_sediminum--RS_GCF_003344765.1	65.57%
Thalassospira_marina--RS_GCF_002844375.1	54.62%
Rhizobium_leguminosarum--RS_GCF_002008365.1	60.58%
Hoeflea_marina--RS_GCF_003182275.1	64.95%
Magnetospirillum_gryphiswaldense--RS_GCF_000513295.1	63.28%
Parasphingopyxis_lamellibrachiae--RS_GCF_003385775.1	60.43%
Novosphingopyxis_baekryungensis--RS_GCF_000420305.1	62.39%
Pacificimonas_flava--RS_GCF_002211145.1	64.15%
Novosphingobium_guangzhouense--RS_GCF_002896965.1	63.5%
Novosphingobium_lindaniclasticum--RS_GCF_000445125.1	64.55%
Novosphingobium_pentaromativorans--RS_GCF_000767465.1	63.02%
Novosphingobium_naphthalenivorans--RS_GCF_001590985.1	63.82%
Paraurantiacibacter_namhicola--RS_GCF_001687545.1	65.01%
