#Species	GC%
Mesobacillus_subterraneus--RS_GCF_000934845.1	42.13%
Bacillus_mesophilus--RS_GCF_011008845.1	36.8%
Bacillus_methanolicus--RS_GCF_008764295.1	38.37%
Geobacillus_thermodenitrificans--RS_GCF_000496575.1	49.05%
Parageobacillus_thermoglucosidasius--RS_GCF_001655645.1	43.15%
Parageobacillus_thermantarcticus--RS_GCF_900111865.1	43.63%
Parageobacillus_caldoxylosilyticus--RS_GCF_000632715.1	43.92%
Thermolongibacillus_altinsuensis--RS_GCF_004341205.1	40.79%
Saccharococcus_thermophilus--RS_GCF_011761475.1	44.88%
Anoxybacillus_gonensis--RS_GCF_001187595.1	41.67%
Anoxybacillus_calidus--RS_GCF_013760845.1	38.89%
Anoxybacillus_vitaminiphilus--RS_GCF_003259935.1	40.04%
Anoxybacillus_rupiensis--RS_GCF_014196195.1	42.33%
Anoxybacillus_voinovskiensis--RS_GCF_014196205.1	43.94%
Anoxybacillus_amylolyticus--RS_GCF_001634285.1	43.62%
Metabacillus_niabensis--RS_GCF_902829255.1	35.55%
Melghiribacillus_thermohalophilus--RS_GCF_004342905.1	42.07%
Melghirimyces_profundicolus--RS_GCF_003054245.1	55.07%
Haloferula_luteola--RS_GCF_014201715.1	58.99%
Kiritimatiella_glycovorans--RS_GCF_001017655.1	63.31%
Sedimentisphaera_cyanobacteriorum--RS_GCF_001997385.1	46.2%
Sedimentisphaera_salicampi--RS_GCF_002117005.1	46.31%
Limihaloglobus_sulfuriphilus--RS_GCF_001999965.1	47.04%
Anaerohalosphaera_lusitana--RS_GCF_002007645.1	51.98%
Algisphaera_agarilytica--RS_GCF_014207595.1	63.2%
Phycisphaera_mikurensis--RS_GCF_000284115.1	73.22%
Thermodesulfatator_indicus--RS_GCF_000217795.1	42.43%
Peribacillus_simplex--RS_GCF_002243645.1	39.9%
Geobacillus_stearothermophilus--RS_GCF_001277805.1	53.05%
Anoxybacillus_pushchinoensis--RS_GCF_900111795.1	41.97%
Metabacillus_fastidiosus--RS_GCF_001591625.1	35.1%
Melghirimyces_algeriensis--RS_GCF_900182565.1	46.4%
Thermodesulfatator_atlanticus--GB_GCA_011321895.1	53.76%
Pradoshia_eiseniae--RS_GCF_002946355.1	42.54%
Peribacillus_asahii--RS_GCF_003570725.1	37.55%
Neobacillus_novalis--RS_GCF_001591805.1	39.86%
Neobacillus_niacini--RS_GCF_013409995.1	38.35%
Mesobacillus_foraminis--RS_GCF_004340465.1	42.97%
