#Species	GC%
Methanotorris_formicicus--RS_GCF_000243455.1	32.44%
Methanotorris_igneus--RS_GCF_000214415.1	32.3%
Sulfurisphaera_tokodaii--RS_GCF_000011205.1	32.79%
Sulfurisphaera_ohwakuensis--RS_GCF_009729055.1	32.75%
Sulfolobus_acidocaldarius--GB_GCA_000508305.1	36.3%
Stygiolobus_azoricus--RS_GCF_009729035.1	37.61%
Metallosphaera_cuprina--RS_GCF_000204925.1	41.99%
Metallosphaera_hakonensis--RS_GCF_003201675.2	43.73%
Acidianus_infernus--RS_GCF_009729545.1	34.36%
Desulfurococcus_amylolyticus--RS_GCF_000513855.1	45.16%
Desulfurococcus_mucosus--RS_GCF_000186365.1	53.14%
Thermosphaera_aggregans--GB_GCA_011053855.1	46.51%
Staphylothermus_hellenicus--RS_GCF_000092465.1	36.84%
Thermogladius_calderae--RS_GCF_000264495.1	55.64%
Pyrodictium_delaneyi--RS_GCF_001412615.1	53.91%
Pyrodictium_occultum--RS_GCF_001462395.1	63.5%
Hyperthermus_butylicus--RS_GCF_000015145.1	53.74%
Ignisphaera_aggregans--GB_GCA_011375585.1	33.86%
Aeropyrum_camini--RS_GCF_000591035.1	56.73%
Aeropyrum_pernix--RS_GCF_000011125.1	56.31%
Ignicoccus_islandicus--RS_GCF_001481685.1	44.9%
Fervidicoccus_fontis--RS_GCF_000258425.1	37.47%
Pyrobaculum_islandicum--RS_GCF_000015205.1	49.6%
Vulcanisaeta_distributa--RS_GCF_000148385.1	45.43%
Vulcanisaeta_souniana--GB_GCA_001316025.1	45.46%
Vulcanisaeta_thermophila--RS_GCF_001748385.1	49.08%
Thermocladium_modestius--RS_GCF_001315925.1	53.14%
Thermofilum_adornatum--RS_GCF_000813245.1	46.4%
Thermofilum_pendens--GB_GCA_011363115.1	59.33%
Thermofilum_uzonense--RS_GCF_000993805.1	47.94%
Nitrososphaera_viennensis--RS_GCF_000698785.1	52.72%
Methanobacterium_formicicum--GB_GCA_001316325.1	41.24%
Methanothermobacter_thermautotrophicus--RS_GCF_000008645.1	49.54%
Methanothermococcus_thermolithotrophicus--RS_GCF_000376965.1	32.8%
Metallosphaera_sedula--RS_GCF_000016605.1	46.23%
Methanobacterium_congolense--RS_GCF_900095295.1	38.49%
Methanobacterium_paludis--RS_GCF_000214725.1	35.73%
Methanothermobacter_tenebrarum--RS_GCF_003264935.1	40.03%
Methanothermococcus_okinawensis--RS_GCF_000179575.2	29.28%
Methanofervidicoccus_abyssi--RS_GCF_004310395.1	35.25%
