#Species	GC%
Actinomadura_rubteroloni--RS_GCF_002911665.1	73.1%
Thermobispora_bispora--RS_GCF_000092645.1	72.43%
Glutamicibacter_halophytocola--RS_GCF_001302565.1	59.99%
Kineosporia_aurantiaca--GB_GCA_000719025.1	69.55%
Quadrisphaera_granulorum--RS_GCF_003149145.1	72.62%
Acidothermus_cellulolyticus--RS_GCF_000015025.1	66.91%
Acidimicrobium_ferrooxidans--RS_GCF_000023265.1	68.29%
Egibacter_rhizosphaerae--RS_GCF_004322855.1	71.67%
Nonomuraea_pusilla--RS_GCF_900109355.1	72.37%
Streptosporangium_roseum--RS_GCF_000024865.1	70.86%
Actinomadura_madurae--RS_GCF_900115095.1	72.1%
Lentisphaera_araneosa--RS_GCF_000170755.1	40.95%
Mycobacterium_montefiorense--RS_GCF_003112775.1	65.12%
Mycobacterium_triplex--RS_GCF_000689255.1	66.57%
Mycobacterium_parmense--RS_GCF_010730575.1	68.39%
Rhodococcus_oryzae--RS_GCF_005049235.1	69.17%
Nonomuraea_maritima--RS_GCF_900100395.1	70.87%
Nonomuraea_soli--RS_GCF_013761175.1	70.7%
Microbispora_hainanensis--RS_GCF_006874475.1	71.25%
Microbispora_bryophytorum--RS_GCF_006874465.1	71.12%
Sphaerisporangium_rubeum--RS_GCF_014207705.1	70.61%
Thermostaphylospora_chromogena--RS_GCF_900099985.1	70.98%
Thermoactinospora_rubra--RS_GCF_002093975.1	71.71%
Thermocatellispora_tengchongensis--RS_GCF_014202315.1	72.56%
Streptosporangium_becharense--RS_GCF_014204985.1	71.37%
