#Species	GC%
Methanomicrobium_mobile--RS_GCF_000711215.1	49.46%
Methanolacinia_petrolearia--RS_GCF_000147875.1	47.4%
Methanoplanus_limicola--RS_GCF_000243255.1	42.19%
Methanogenium_cariaci--RS_GCF_001315945.1	52.06%
Methanosarcina_vacuolata--RS_GCF_000969905.1	39.71%
Methanosarcina_lacustris--RS_GCF_000970265.1	41.82%
Methanolobus_vulcani--RS_GCF_006546655.1	40.2%
Methanolobus_profundi--RS_GCF_900114835.1	42.57%
Methanolobus_psychrotolerans--RS_GCF_002243045.1	41.33%
Methanomethylovorans_hollandica--RS_GCF_000328665.1	41.87%
Methanohalophilus_halophilus--RS_GCF_001889405.1	42.4%
Methanohalophilus_mahii--RS_GCF_000025865.1	42.62%
Methanococcoides_burtonii--RS_GCF_000013725.1	40.76%
Methanococcoides_methylutens--RS_GCF_000765475.1	42.5%
Methanosalsum_zhilinae--RS_GCF_000217995.1	39.16%
Methanosaeta_harundinacea--RS_GCF_000235565.1	60.6%
Methanothermobacter_thermautotrophicus--RS_GCF_000008645.1	49.54%
Methanothermococcus_okinawensis--RS_GCF_000179575.2	29.28%
Methanothermococcus_thermolithotrophicus--RS_GCF_000376965.1	32.8%
Methanotorris_igneus--RS_GCF_000214415.1	32.3%
Methanomassiliicoccus_luminyensis--RS_GCF_000308215.1	60.48%
Methanofollis_tationis--RS_GCF_013377755.1	61.14%
Methanoregula_boonei--RS_GCF_000017625.1	54.51%
Methanoculleus_bourgensis--RS_GCF_000304355.2	60.64%
Methanolacinia_paynteri--RS_GCF_000784355.1	47.43%
Methanosarcina_barkeri--RS_GCF_000970025.1	39.19%
Methanolobus_tindarius--RS_GCF_000504205.1	39.79%
Methanofollis_ethanolicus--RS_GCF_001571385.1	60.33%
Methanofollis_liminatans--RS_GCF_000275865.1	60.96%
Methanoregula_formicica--RS_GCF_000327485.1	55.2%
Methanolinea_tarda--GB_GCA_000235685.2	56.51%
Methanosphaerula_palustris--RS_GCF_000021965.1	55.35%
Methanoculleus_marisnigri--GB_GCA_002503885.1	61.54%
Methanoculleus_chikugoensis--RS_GCF_900095385.1	61.84%
Methanoculleus_taiwanensis--RS_GCF_004102725.1	59.97%
