#Species	GC%
Thermococcus_thioreducens--RS_GCF_002214545.1	53.45%
Thermococcus_piezophilus--RS_GCF_001647085.1	51.11%
Thermococcus_celericrescens--RS_GCF_001484195.1	54.29%
Thermococcus_siculi--RS_GCF_002214505.1	54.99%
Thermococcus_cleftensis--RS_GCF_000265525.1	55.82%
Thermococcus_kodakarensis--RS_GCF_000009965.1	52.0%
Thermococcus_gammatolerans--RS_GCF_000022365.1	53.56%
Thermococcus_eurythermalis--RS_GCF_000769655.1	53.45%
Thermococcus_guaymasensis--RS_GCF_000816105.1	52.86%
Thermococcus_zilligii--RS_GCF_000258515.1	54.48%
Thermococcus_pacificus--RS_GCF_002214485.1	54.24%
Thermococcus_barophilus--RS_GCF_000151105.2	41.67%
Thermococcus_paralvinellae--RS_GCF_000517445.1	40.3%
Pyrococcus_furiosus--RS_GCF_000007305.1	40.77%
Thermococcus_chitonophagus--RS_GCF_002214605.1	44.92%
Pyrococcus_kukulkanii--RS_GCF_001577775.1	44.62%
Pyrococcus_yayanosii--RS_GCF_000215995.1	51.64%
Thermococcus_litoralis--RS_GCF_000246985.2	43.09%
Thermococcus_sibiricus--RS_GCF_000022545.1	40.2%
Palaeococcus_ferrophilus--RS_GCF_000966265.1	54.31%
Palaeococcus_pacificus--RS_GCF_000725425.1	43.04%
Methanococcus_vannielii--RS_GCF_000017165.1	31.33%
Methanococcus_aeolicus--RS_GCF_000017185.1	30.04%
Methanothermococcus_okinawensis--RS_GCF_000179575.2	29.28%
Methanothermococcus_thermolithotrophicus--RS_GCF_000376965.1	32.8%
Methanofervidicoccus_abyssi--RS_GCF_004310395.1	35.25%
Methanotorris_formicicus--RS_GCF_000243455.1	32.44%
Methanotorris_igneus--RS_GCF_000214415.1	32.3%
Methanobacterium_formicicum--GB_GCA_001316325.1	41.24%
Methanothrix_thermoacetophila--RS_GCF_000014945.1	53.55%
Methanobrevibacter_smithii--RS_GCF_002252585.1	30.29%
Methanosphaera_stadtmanae--RS_GCF_000012545.1	27.63%
Methanobacterium_paludis--RS_GCF_000214725.1	35.73%
Methanothermobacter_marburgensis--RS_GCF_000145295.1	48.64%
Methanothermobacter_thermautotrophicus--RS_GCF_000008645.1	49.54%
Methanothermobacter_tenebrarum--RS_GCF_003264935.1	40.03%
