#Species	GC%
Methanobacterium_veterum--RS_GCF_000745485.1	33.17%
Methanothermobacter_marburgensis--RS_GCF_000145295.1	48.64%
Methanothermobacter_thermautotrophicus--RS_GCF_000008645.1	49.54%
Methanothermobacter_tenebrarum--RS_GCF_003264935.1	40.03%
Methanothermus_fervidus--RS_GCF_000166095.1	31.64%
Methanococcus_vannielii--RS_GCF_000017165.1	31.33%
Methanococcus_aeolicus--RS_GCF_000017185.1	30.04%
Methanothermococcus_okinawensis--RS_GCF_000179575.2	29.28%
Methanothermococcus_thermolithotrophicus--RS_GCF_000376965.1	32.8%
Methanofervidicoccus_abyssi--RS_GCF_004310395.1	35.25%
Methanocaldococcus_fervens--RS_GCF_000023985.1	32.22%
Methanocaldococcus_bathoardescens--RS_GCF_000739065.1	30.79%
Methanocaldococcus_jannaschii--RS_GCF_000091665.1	31.29%
Methanocaldococcus_vulcanius--RS_GCF_000024625.1	31.58%
Methanocaldococcus_infernus--RS_GCF_000092305.1	33.62%
Thermoplasma_volcanium--RS_GCF_000011185.1	39.92%
Methanocella_paludicola--RS_GCF_000011005.1	54.92%
Methanolobus_tindarius--RS_GCF_000504205.1	39.79%
Methanosphaera_stadtmanae--RS_GCF_000012545.1	27.63%
Thermoplasma_acidophilum--RS_GCF_000195915.1	45.99%
Methanoregula_boonei--RS_GCF_000017625.1	54.51%
Methanoplanus_limicola--RS_GCF_000243255.1	42.19%
Methanogenium_cariaci--RS_GCF_001315945.1	52.06%
Methanocella_arvoryzae--RS_GCF_000063445.1	54.6%
Methanolobus_zinderi--RS_GCF_013388255.1	44.06%
Methanosphaera_cuniculi--RS_GCF_003149675.1	28.08%
Methanobacterium_subterraneum--RS_GCF_002813695.1	39.4%
Methanobacterium_formicicum--GB_GCA_001316325.1	41.24%
Methanobacterium_congolense--RS_GCF_900095295.1	38.49%
Methanobacterium_paludis--RS_GCF_000214725.1	35.73%
