#Species	GC%
Ureibacillus_thermosphaericus--RS_GCF_012396605.1	35.71%
Bhargavaea_cecembensis--RS_GCF_000348905.1	54.83%
Parageobacillus_thermantarcticus--RS_GCF_900111865.1	43.63%
Caldibacillus_debilis--RS_GCF_000383875.1	51.58%
Melghiribacillus_thermohalophilus--RS_GCF_004342905.1	42.07%
Kroppenstedtia_eburnea--RS_GCF_013282215.1	54.08%
Melghirimyces_profundicolus--RS_GCF_003054245.1	55.07%
Planifilum_fulgidum--RS_GCF_900113175.1	58.53%
Mycobacterium_tuberculosis--RS_GCF_000195955.2	65.61%
Saccharomonospora_cyanea--RS_GCF_000244975.1	69.73%
Saccharomonospora_glauca--RS_GCF_000243395.2	69.12%
Arthrobacter_celericrescens--RS_GCF_003614925.1	67.04%
Arthrobacter_silvisoli--RS_GCF_003369445.1	66.74%
Arthrobacter_globiformis--RS_GCF_003261175.1	65.89%
Paeniglutamicibacter_antarcticus--RS_GCF_900010755.1	61.73%
Micrococcus_terreus--RS_GCF_900116905.1	68.86%
Patulibacter_medicamentivorans--RS_GCF_000240225.1	74.08%
Conexibacter_woesei--RS_GCF_000025265.1	72.73%
Conexibacter_arvalis--RS_GCF_014199525.1	73.73%
Solirubrobacter_soli--RS_GCF_000423665.1	71.43%
Rubrobacter_taiwanensis--RS_GCF_004337705.1	67.18%
Moorella_thermoacetica--RS_GCF_001267405.1	55.95%
Melghirimyces_algeriensis--RS_GCF_900182565.1	46.4%
Planifilum_fimeticola--RS_GCF_003001905.1	57.5%
Saccharomonospora_viridis--RS_GCF_000023865.1	67.32%
Patulibacter_minatonensis--RS_GCF_000519325.1	74.03%
Solirubrobacter_pauli--RS_GCF_003633755.1	72.1%
Rubrobacter_radiotolerans--RS_GCF_900175965.1	66.52%
Desulfoglaeba_alkanexedens--RS_GCF_005377625.1	59.31%
Syntrophobacter_fumaroxidans--RS_GCF_000014965.1	59.95%
Geobacter_daltonii--RS_GCF_000022265.1	53.47%
Geobacter_toluenoxydans--GB_GCA_001311985.1	53.59%
Geobacter_uraniireducens--RS_GCF_000016745.1	54.24%
Geobacter_pickeringii--RS_GCF_000817955.1	62.27%
Deferrisoma_camini--RS_GCF_000526155.1	70.08%
Ureibacillus_terrenus--RS_GCF_006569205.1	42.46%
