#Species	GC%
Anaeroglobus_geminatus--RS_GCF_000239275.1	48.88%
Megasphaera_stantonii--RS_GCF_003367905.1	52.62%
Megasphaera_cerevisiae--RS_GCF_001045675.1	44.78%
Megasphaera_micronuciformis--RS_GCF_000165735.1	45.43%
Dialister_invisus--RS_GCF_000160055.1	45.49%
Dialister_succinatiphilus--RS_GCF_000242435.1	49.61%
Selenomonas_bovis--RS_GCF_000381005.1	59.05%
Selenomonas_ruminantium--RS_GCF_900113715.1	52.61%
Phascolarctobacterium_succinatutens--GB_GCA_000434895.1	46.66%
Desulfofundulus_australicus--RS_GCF_900129285.1	54.47%
Desulfofundulus_kuznetsovii--GB_GCA_000214705.1	54.88%
Desulfofundulus_thermosubterraneus--RS_GCF_900142025.1	54.85%
Limisphaera_ngatamarikiensis--RS_GCF_011044775.1	64.84%
Fuerstia_marisgermanicae--RS_GCF_001983935.1	55.9%
Phycisphaera_mikurensis--RS_GCF_000284115.1	73.22%
Thermodesulfobium_acidiphilum--RS_GCF_003057965.1	33.67%
Thermodesulfobium_narugense--RS_GCF_000212395.1	33.87%
Thermus_filiformis--RS_GCF_000771745.2	69.01%
Thermus_oshimai--RS_GCF_000373145.1	68.72%
Meiothermus_cerbereus--RS_GCF_000620065.1	61.28%
Meiothermus_ruber--GB_GCA_011327565.1	62.08%
Meiothermus_luteus--RS_GCF_003574085.1	65.12%
Meiothermus_rufus--RS_GCF_000423425.1	63.12%
Desulfovirgula_thermocuniculi--RS_GCF_000429345.1	61.27%
Thiocapsa_roseopersicina--RS_GCF_900106925.1	64.32%
Desulfotomaculum_nigrificans--RS_GCF_000189755.2	46.27%
Desulfofarcimen_acetoxidans--RS_GCF_000024205.1	41.55%
Megasphaera_elsdenii--RS_GCF_003010495.1	52.78%
Phascolarctobacterium_faecium--RS_GCF_003269275.1	43.73%
Thermus_aquaticus--RS_GCF_001280255.1	67.12%
Spongiibacter_marinus--RS_GCF_000422345.1	55.12%
Thiocapsa_marina--RS_GCF_000223985.1	64.11%
Risungbinella_massiliensis--RS_GCF_000942395.1	40.25%
Baia_soyae--RS_GCF_004341445.1	42.01%
Heliobacterium_chlorum--RS_GCF_014502795.1	48.66%
Desulfotomaculum_aquiferis--GB_GCA_004143605.1	42.13%
Desulfofarcimen_intricatum--RS_GCF_001592105.1	40.49%
