#Species	GC%
Phaeodactylibacter_xiamenensis--RS_GCF_000759025.1	51.01%
Haliscomenobacter_hydrossis--RS_GCF_000212735.1	47.1%
Sporocytophaga_myxococcoides--RS_GCF_000775915.1	36.0%
Cesiribacter_andamanensis--RS_GCF_000348925.1	54.6%
Fulvivirga_aurantia--RS_GCF_009711475.1	39.42%
Fulvivirga_imtechensis--RS_GCF_000331535.1	42.39%
Nafulsella_turpanensis--RS_GCF_000346615.1	45.67%
Marivirga_sericea--RS_GCF_900177665.1	35.93%
Marivirga_tractuosa--RS_GCF_000183425.1	35.52%
Marinoscillum_furvescens--RS_GCF_003386095.1	45.42%
Pontibacter_roseus--RS_GCF_000373265.1	52.65%
Pontibacter_diazotrophicus--RS_GCF_003367245.1	47.94%
Rufibacter_immobilis--RS_GCF_003721565.1	51.27%
Rufibacter_roseus--RS_GCF_001647285.1	46.25%
Adhaeribacter_aquaticus--RS_GCF_000473365.1	39.64%
Adhaeribacter_swui--RS_GCF_014217805.1	43.04%
Adhaeribacter_aerolatus--RS_GCF_007991635.1	44.47%
Adhaeribacter_rhizoryzae--RS_GCF_008629685.1	43.35%
Mariniphaga_anaerophila--RS_GCF_900129025.1	41.77%
Fulvivirga_kasyanovii--RS_GCF_009711405.1	42.59%
Pontibacter_actiniarum--RS_GCF_003585765.1	53.16%
Rufibacter_tibetensis--RS_GCF_001310085.1	47.43%
Owenweeksia_hongkongensis--RS_GCF_000236705.1	40.23%
Phaeocystidibacter_luteus--RS_GCF_008933115.1	46.47%
Prolixibacter_bellariivorans--RS_GCF_000621705.1	44.2%
Prolixibacter_denitrificans--RS_GCF_003014495.1	45.09%
Mariniphaga_sediminis--RS_GCF_003573545.1	41.74%
Maribellus_luteus--RS_GCF_003576475.1	44.07%
Albibacterium_bauzanense--RS_GCF_004339765.1	36.47%
Solitalea_koreensis--RS_GCF_900182575.1	37.71%
Anseongella_ginsenosidimutans--RS_GCF_008033235.1	49.92%
Phaeodactylibacter_luteus--RS_GCF_007993045.1	53.77%
