#Species	GC%
Arthrobacter_celericrescens--RS_GCF_003614925.1	67.04%
Arthrobacter_silvisoli--RS_GCF_003369445.1	66.74%
Glutamicibacter_mishrai--RS_GCF_012221945.1	59.44%
Glutamicibacter_halophytocola--RS_GCF_001302565.1	59.99%
Glutamicibacter_arilaitensis--RS_GCF_000197735.1	59.27%
Glutamicibacter_nicotianae--RS_GCF_006539525.1	61.92%
Arthrobacter_woluwensis--RS_GCF_900105345.1	68.11%
Nesterenkonia_sandarakina--RS_GCF_003003175.1	67.46%
Yaniella_halotolerans--RS_GCF_000420805.1	55.65%
Brachybacterium_vulturis--RS_GCF_002407185.1	70.84%
Brachybacterium_avium--RS_GCF_002216795.1	70.43%
Brachybacterium_ginsengisoli--RS_GCF_002407065.1	71.57%
Brachybacterium_nesterenkovii--RS_GCF_900163655.1	72.43%
Demequina_aestuarii--RS_GCF_000975095.1	69.13%
Demequina_salsinemoris--RS_GCF_000974805.1	70.16%
Kribbia_dieselivorans--RS_GCF_001552435.1	69.21%
Yimella_lutea--RS_GCF_006715095.1	66.86%
Isoptericola_dokdonensis--RS_GCF_001636295.1	73.81%
Xylanimonas_allomyrinae--RS_GCF_004135345.1	72.63%
Luteimicrobium_subarcticum--RS_GCF_002798015.1	73.19%
Cryptosporangium_aurantiacum--RS_GCF_900143005.1	71.19%
Geodermatophilus_saharensis--RS_GCF_900188205.1	75.53%
Geodermatophilus_daqingensis--RS_GCF_013408985.1	73.64%
Geodermatophilus_tzadiensis--RS_GCF_003002915.1	75.38%
Geodermatophilus_amargosae--RS_GCF_900116515.1	74.22%
Geodermatophilus_normandii--RS_GCF_003182485.1	75.34%
Geodermatophilus_africanus--RS_GCF_900107105.1	74.3%
Modestobacter_altitudinis--RS_GCF_005930475.1	73.66%
Modestobacter_caceresii--RS_GCF_000761485.1	73.58%
Modestobacter_multiseptatus--RS_GCF_006716365.1	71.74%
Levilinea_saccharolytica--RS_GCF_001306035.1	59.8%
Ornatilinea_apprima--RS_GCF_001306115.1	55.04%
Longilinea_arvoryzae--RS_GCF_001050235.1	56.84%
Leptolinea_tardivitalis--RS_GCF_001050275.1	46.82%
Bellilinea_caldifistulae--RS_GCF_001306055.1	52.82%
Zhihengliuella_halotolerans--RS_GCF_004217565.1	68.39%
Brachybacterium_faecium--RS_GCF_000023405.1	72.05%
Xylanimonas_cellulosilytica--RS_GCF_000024965.1	72.45%
Cryptosporangium_arvum--RS_GCF_000585375.1	71.69%
Geodermatophilus_obscurus--RS_GCF_000025345.1	73.98%
Anaeromicrobium_sediminis--RS_GCF_002270055.1	31.26%
Nocardia_yunnanensis--RS_GCF_003626895.1	68.36%
Nocardia_pseudovaccinii--RS_GCF_001613225.1	65.65%
